method,logN,m,metric,count,median,mean,stddev,q25,q75,min,max
RM_COORD,12,8,split_input_setup_ms,10,57.9915,58.1374,0.4152868352784098,57.867999999999995,58.278999999999996,57.719,59.108000000000004
RM_COORD,12,8,pprf_key_setup_ms,10,370.78499999999997,370.6142,0.7388701284168001,369.99174999999997,370.9955,369.505,371.926
RM_COORD,12,8,setup_wall_ms,10,419.467,419.1489,0.8870738977109068,418.5,419.66775000000007,417.763,420.528
RM_COORD,12,8,expand_wall_ms,10,0.9349999999999999,0.9326,0.014064928802600527,0.9265000000000001,0.94225,0.905,0.949
RM_COORD,12,8,total_wall_ms,10,420.206,419.8994,0.8845929635211391,419.24575000000004,420.406,418.506,421.273
RM_COORD,12,8,total_cpu_work_ms,10,430.6225,430.42719999999997,0.906973575506299,429.78524999999996,430.84725,429.031,431.916
RM_COORD,12,16,split_input_setup_ms,10,166.63850000000002,166.6661,0.5045753880464484,166.41899999999998,166.8995,165.678,167.501
RM_COORD,12,16,pprf_key_setup_ms,10,758.982,759.4987,1.5743968898173957,758.34375,760.2877499999998,757.846,762.163
RM_COORD,12,16,setup_wall_ms,10,889.096,889.4582,1.714045558839601,888.08325,890.1955,887.61,892.7040000000001
RM_COORD,12,16,expand_wall_ms,10,1.768,1.7629,0.024154364684945348,1.74475,1.77975,1.7229999999999999,1.792
RM_COORD,12,16,total_wall_ms,10,890.8565000000001,891.2211,1.7243904849089333,889.833,891.9605,889.342,894.496
RM_COORD,12,16,total_cpu_work_ms,10,929.07,929.3751,1.8720045376250791,927.84075,930.2122499999999,927.39,932.9
RM_COORD,12,32,split_input_setup_ms,10,419.83500000000004,419.86310000000003,0.9748689313612076,419.17749999999995,420.15675,418.64099999999996,421.983
RM_COORD,12,32,pprf_key_setup_ms,10,1540.4785000000002,1540.5312000000001,2.1282803073530427,1539.4817500000001,1541.01375,1536.797,1543.794
RM_COORD,12,32,setup_wall_ms,10,1867.0234999999998,1867.2674,2.204896883454305,1866.15625,1868.057,1863.477,1871.1109999999999
RM_COORD,12,32,expand_wall_ms,10,3.5745,3.5446,0.058078873573404924,3.4877499999999997,3.5885,3.4610000000000003,3.614
RM_COORD,12,32,total_wall_ms,10,1870.5004999999999,1870.8121,2.2014336465131077,1869.742,1871.6447500000002,1867.056,1874.587
RM_COORD,12,32,total_cpu_work_ms,10,1966.4115,1967.0191,2.7807416856339975,1965.8464999999999,1967.60825,1962.5939999999998,1972.3380000000002
RM_COORD,14,8,split_input_setup_ms,10,58.100500000000004,58.1451,0.2142192283101062,58.0185,58.245,57.83,58.519
RM_COORD,14,8,pprf_key_setup_ms,10,494.899,494.9135,0.9746645291814157,494.15049999999997,495.53499999999997,493.528,496.798
RM_COORD,14,8,setup_wall_ms,10,545.5905,545.6382,1.015257909214312,544.914,546.13975,544.138,547.678
RM_COORD,14,8,expand_wall_ms,10,3.7465,3.7606,0.05005596867507406,3.7230000000000003,3.79925,3.705,3.856
RM_COORD,14,8,total_wall_ms,10,549.1389999999999,549.1973,1.0211690522794783,548.4892499999999,549.71025,547.618,551.219
RM_COORD,14,8,total_cpu_work_ms,10,560.3755,560.3783,1.0996090264776561,559.59525,560.7415000000001,558.763,562.5440000000001
RM_COORD,14,16,split_input_setup_ms,10,165.755,165.9038,0.5654578872225737,165.401,166.42399999999998,165.30800000000002,166.773
RM_COORD,14,16,pprf_key_setup_ms,10,1005.9535000000001,1006.403,1.1726921543562738,1005.504,1007.4347499999999,1004.9650000000001,1008.4
RM_COORD,14,16,setup_wall_ms,10,1136.3020000000001,1136.5765000000001,1.2467767553888036,1135.6895,1137.5435,1134.745,1138.354
RM_COORD,14,16,expand_wall_ms,10,7.38,7.3934999999999995,0.07568245062980788,7.338,7.426,7.311,7.547
RM_COORD,14,16,total_wall_ms,10,1143.4915,1143.7358,1.2298047541514099,1142.8075,1144.719,1141.983,1145.417
RM_COORD,14,16,total_cpu_work_ms,10,1186.8985,1186.8596,1.4751534157503263,1185.5755,1187.6834999999999,1184.8920000000003,1189.055
RM_COORD,14,32,split_input_setup_ms,10,419.17400000000004,419.4822,0.9906594661021311,418.80850000000004,420.04275,418.448,421.388
RM_COORD,14,32,pprf_key_setup_ms,10,2031.4775,2033.3365000000001,3.337097249939849,2030.8815000000002,2035.979,2030.4289999999999,2038.7300000000002
RM_COORD,14,32,setup_wall_ms,10,2349.0145,2349.8794000000003,2.5577525377650843,2347.9057500000004,2352.24475,2346.744,2354.037
RM_COORD,14,32,expand_wall_ms,10,17.264,17.2426,0.13720641384425133,17.13525,17.345,17.035,17.453
RM_COORD,14,32,total_wall_ms,10,2366.17,2367.1217,2.571432892809429,2365.2965,2369.3637500000004,2363.866,2371.343
RM_COORD,14,32,total_cpu_work_ms,10,2482.589,2484.8168,3.773128139297064,2481.84375,2488.85225,2481.6270000000004,2490.175
RM_COORD,16,8,split_input_setup_ms,10,61.8275,61.4444,2.1266071151536727,60.92075,62.19225,57.800999999999995,64.408
RM_COORD,16,8,pprf_key_setup_ms,10,632.9110000000001,632.9802,2.1773651661277706,631.21775,635.1532500000001,629.725,635.5269999999999
RM_COORD,16,8,setup_wall_ms,10,680.6959999999999,680.5192,2.2703131355240926,678.7155,682.4395,676.782,683.596
RM_COORD,16,8,expand_wall_ms,10,16.1985,16.1633,0.11598855307505346,16.106250000000003,16.22025,15.953999999999999,16.357
RM_COORD,16,8,total_wall_ms,10,696.8625,696.6826,2.2881800239977443,694.9717499999999,698.6482500000001,692.801,699.69
RM_COORD,16,8,total_cpu_work_ms,10,724.867,725.9385,2.7144812579938513,724.4547500000002,728.5605,721.0340000000001,729.1250000000001
RM_COORD,16,16,split_input_setup_ms,10,171.8925,171.6483,1.1247699073341402,171.05075,172.23499999999999,169.434,173.30100000000002
RM_COORD,16,16,pprf_key_setup_ms,10,1273.873,1273.2748000000001,2.7737968683136387,1271.64425,1275.27825,1269.0790000000002,1277.418
RM_COORD,16,16,setup_wall_ms,10,1398.22,1398.3425,1.7675239586620788,1397.0212499999998,1399.1617499999998,1396.356,1402.066
RM_COORD,16,16,expand_wall_ms,10,31.0985,31.2062,0.2874314604291684,31.055,31.16925,30.983,31.931
RM_COORD,16,16,total_wall_ms,10,1429.3935000000001,1429.2829,1.9310850979580385,1427.8604999999998,1430.203,1426.8529999999998,1433.049
RM_COORD,16,16,total_cpu_work_ms,10,1506.5729999999999,1506.6277,2.63252105826748,1506.275,1507.62925,1502.5310000000002,1510.7099999999998
RM_COORD,16,32,split_input_setup_ms,10,424.9275,424.373,2.0289750012150543,422.59950000000003,425.91825,421.566,427.25800000000004
RM_COORD,16,32,pprf_key_setup_ms,10,2559.281,2559.7438,2.0486609068148205,2558.38475,2561.2715000000003,2556.508,2563.074
RM_COORD,16,32,setup_wall_ms,10,2878.329,2879.6312,2.3875594605743196,2878.1515,2881.0465,2876.81,2884.014
RM_COORD,16,32,expand_wall_ms,10,71.733,71.6771,0.29012964535032965,71.48725000000002,71.79575,71.23400000000001,72.213
RM_COORD,16,32,total_wall_ms,10,2947.4495,2948.5323,2.529788179538616,2946.8895,2949.6944999999996,2945.472,2952.847
RM_COORD,16,32,total_cpu_work_ms,10,3124.533,3124.6952,3.662011159640927,3121.3347499999995,3127.5335000000005,3120.006,3130.188
RM_COORD,18,8,split_input_setup_ms,10,107.65899999999999,107.7334,1.9155999466369669,107.176,109.05175,103.775,110.10499999999999
RM_COORD,18,8,pprf_key_setup_ms,10,807.9825,809.8711,5.1673756814589495,806.5805,811.0935000000001,806.2629999999999,822.794
RM_COORD,18,8,setup_wall_ms,10,893.14,893.2537,3.0590348532393676,890.8782500000001,895.35625,889.258,897.798
RM_COORD,18,8,expand_wall_ms,10,78.64349999999999,78.7714,0.367238705294889,78.52825,78.91225,78.459,79.651
RM_COORD,18,8,total_wall_ms,10,967.2740000000001,967.3051,3.268364438063788,964.70675,969.984,962.857,971.582
RM_COORD,18,8,total_cpu_work_ms,10,1068.8805,1070.4273,6.213599244131167,1066.363,1073.75725,1062.4779999999998,1084.0610000000001
RM_COORD,18,16,split_input_setup_ms,10,217.117,216.7739,2.2135746078333236,216.63774999999998,217.97025000000002,212.189,219.42600000000002
RM_COORD,18,16,pprf_key_setup_ms,10,1619.188,1619.7158,3.34454098494851,1617.7932499999997,1620.474,1616.002,1628.0520000000001
RM_COORD,18,16,setup_wall_ms,10,1788.1975,1787.6427,3.958011258475908,1787.17225,1788.79575,1780.713,1795.3609999999999
RM_COORD,18,16,expand_wall_ms,10,151.94150000000002,152.148,0.7257950430007348,151.79975,152.3095,151.401,153.831
RM_COORD,18,16,total_wall_ms,10,1934.1945,1933.7581,4.097418359297828,1932.59825,1934.77525,1927.1560000000002,1942.672
RM_COORD,18,16,total_cpu_work_ms,10,2135.2304999999997,2134.7531,4.880896558124421,2131.8525,2135.5815000000002,2128.161,2146.41
RM_COORD,18,32,split_input_setup_ms,10,467.865,468.3757,1.501573844707989,467.30675,468.87925,466.702,471.478
RM_COORD,18,32,pprf_key_setup_ms,10,3263.992,3264.561,4.603965850824275,3260.8317500000003,3267.69625,3259.301,3272.2780000000002
RM_COORD,18,32,setup_wall_ms,10,3627.2825000000003,3627.0569,4.358573096018123,3623.67975,3630.3965,3620.829,3632.83
RM_COORD,18,32,expand_wall_ms,10,324.10349999999994,323.4448,1.7502527309569453,322.464,324.61775,319.82899999999995,325.462
RM_COORD,18,32,total_wall_ms,10,3942.2,3942.9217,4.8833278054575535,3938.9142500000003,3946.634,3937.126,3950.44
RM_COORD,18,32,total_cpu_work_ms,10,4369.233,4372.2466,5.3829151994479005,4367.9895,4377.9775,4367.52,4379.819
RM_COORD,20,8,split_input_setup_ms,10,297.044,296.5463,2.968652857591956,293.904,298.41825,292.706,301.145
RM_COORD,20,8,pprf_key_setup_ms,10,1147.8694999999998,1148.1675,2.3040272109696676,1146.8067500000002,1148.6085,1145.563,1153.657
RM_COORD,20,8,setup_wall_ms,10,1423.481,1423.1232,4.452268879771075,1419.623,1426.514,1415.827,1429.7740000000001
RM_COORD,20,8,expand_wall_ms,10,339.84749999999997,340.2813,1.8224735968213865,338.8555,341.72125,338.175,343.457
