method,party,logN,m,metric,count,median,mean,stddev,q25,q75,min,max
RM_COORD,P0,12,8,expand_total_ms,10,0.7444999999999999,0.743,0.007055336829505581,0.7414999999999999,0.74575,0.73,0.754
RM_COORD,P0,12,8,expand_latency_ms,10,0.9349999999999999,0.9326,0.014064928802600527,0.9265000000000001,0.94225,0.905,0.949
RM_COORD,P0,12,8,expand_cpu_work_ms,10,1.68,1.6756,0.020200110010701534,1.6700000000000002,1.6872500000000001,1.635,1.698
RM_COORD,P0,12,16,expand_total_ms,10,1.4405000000000001,1.4474,0.020635460310403125,1.43625,1.447,1.428,1.495
RM_COORD,P0,12,16,expand_latency_ms,10,1.768,1.7629,0.024154364684945348,1.74475,1.77975,1.7229999999999999,1.792
RM_COORD,P0,12,16,expand_cpu_work_ms,10,3.2095000000000002,3.2103,0.03911535646151158,3.1825,3.2325,3.154,3.285
RM_COORD,P0,12,32,expand_total_ms,10,3.076,3.0802,0.05186049663386487,3.0485,3.0839999999999996,3.0370000000000004,3.216
RM_COORD,P0,12,32,expand_latency_ms,10,3.5745,3.5446,0.058078873573404924,3.4877499999999997,3.5885,3.4610000000000003,3.614
RM_COORD,P0,12,32,expand_cpu_work_ms,10,6.622,6.6248000000000005,0.07983288100080618,6.5675,6.656750000000001,6.525,6.795
RM_COORD,P0,14,8,expand_total_ms,10,3.5685,3.5591,0.051889733516799305,3.53275,3.57575,3.48,3.662
RM_COORD,P0,14,8,expand_latency_ms,10,3.7465,3.7606,0.05005596867507406,3.7230000000000003,3.79925,3.705,3.856
RM_COORD,P0,14,8,expand_cpu_work_ms,10,7.3255,7.3197,0.070414723839076,7.29525,7.36325,7.203,7.423
RM_COORD,P0,14,16,expand_total_ms,10,7.1695,7.1593,0.08398948346866608,7.1537500000000005,7.22375,6.971,7.237
RM_COORD,P0,14,16,expand_latency_ms,10,7.38,7.3934999999999995,0.07568245062980788,7.338,7.426,7.311,7.547
RM_COORD,P0,14,16,expand_cpu_work_ms,10,14.540500000000002,14.5528,0.08401163940523672,14.49175,14.60675,14.454,14.699
RM_COORD,P0,14,32,expand_total_ms,10,14.7635,14.7555,0.08674515676521768,14.738249999999999,14.80025,14.594,14.902999999999999
RM_COORD,P0,14,32,expand_latency_ms,10,17.264,17.2426,0.13720641384425133,17.13525,17.345,17.035,17.453
RM_COORD,P0,14,32,expand_cpu_work_ms,10,31.994999999999997,31.998099999999997,0.17001794022984773,31.966749999999998,32.0945,31.628999999999998,32.257
RM_COORD,P0,16,8,expand_total_ms,10,16.1985,16.1633,0.11598855307505346,16.106250000000003,16.22025,15.953999999999999,16.357
RM_COORD,P0,16,8,expand_latency_ms,10,16.1985,16.1633,0.11598855307505346,16.106250000000003,16.22025,15.953999999999999,16.357
RM_COORD,P0,16,8,expand_cpu_work_ms,10,31.521,31.5139,0.1658295309446823,31.386,31.64475,31.233999999999998,31.758
RM_COORD,P0,16,16,expand_total_ms,10,31.0985,31.2062,0.2874314604291684,31.055,31.16925,30.983,31.931
RM_COORD,P0,16,16,expand_latency_ms,10,31.0985,31.2062,0.2874314604291684,31.055,31.16925,30.983,31.931
RM_COORD,P0,16,16,expand_cpu_work_ms,10,61.51349999999999,61.7046,0.3797514391750956,61.483,61.75575,61.442,62.63
RM_COORD,P0,16,32,expand_total_ms,10,71.733,71.6771,0.29012964535032965,71.48725000000002,71.79575,71.23400000000001,72.213
RM_COORD,P0,16,32,expand_latency_ms,10,71.733,71.6771,0.29012964535032965,71.48725000000002,71.79575,71.23400000000001,72.213
