method,base_ot_mode,logN,m,metric,count,median,mean,stddev,q25,q75,min,max
COORDINATE_PPRF,PREPROCESSED_OT,12,8,key_setup_wall_ms,10,576.806,576.6004,4.330569764925723,572.6474999999999,580.0819999999999,571.635,581.9100000000001
COORDINATE_PPRF,PREPROCESSED_OT,12,8,pprf_only_time_ms,10,576.806,576.6004,4.330569764925723,572.6474999999999,580.0819999999999,571.635,581.9100000000001
COORDINATE_PPRF,PREPROCESSED_OT,12,8,pprf_setup_bytes,10,407216.0,407216.0,0.0,407216.0,407216.0,407216.0,407216.0
COORDINATE_PPRF,PREPROCESSED_OT,12,8,total_comm_bytes,10,407216.0,407216.0,0.0,407216.0,407216.0,407216.0,407216.0
COORDINATE_PPRF,PREPROCESSED_OT,12,16,key_setup_wall_ms,10,1153.935,1152.7271,5.5202758475761495,1148.11575,1156.9225000000001,1144.549,1160.1999999999998
COORDINATE_PPRF,PREPROCESSED_OT,12,16,pprf_only_time_ms,10,1153.935,1152.7271,5.5202758475761495,1148.11575,1156.9225000000001,1144.549,1160.1999999999998
COORDINATE_PPRF,PREPROCESSED_OT,12,16,pprf_setup_bytes,10,814384.0,814384.0,0.0,814384.0,814384.0,814384.0,814384.0
COORDINATE_PPRF,PREPROCESSED_OT,12,16,total_comm_bytes,10,814384.0,814384.0,0.0,814384.0,814384.0,814384.0,814384.0
COORDINATE_PPRF,PREPROCESSED_OT,12,32,key_setup_wall_ms,10,2279.57,2282.6833,8.268411993847392,2277.93625,2283.9475,2274.8810000000003,2300.09
COORDINATE_PPRF,PREPROCESSED_OT,12,32,pprf_only_time_ms,10,2279.57,2282.6833,8.268411993847392,2277.93625,2283.9475,2274.8810000000003,2300.09
COORDINATE_PPRF,PREPROCESSED_OT,12,32,pprf_setup_bytes,10,1628720.0,1628720.0,0.0,1628720.0,1628720.0,1628720.0,1628720.0
COORDINATE_PPRF,PREPROCESSED_OT,12,32,total_comm_bytes,10,1628720.0,1628720.0,0.0,1628720.0,1628720.0,1628720.0,1628720.0
COORDINATE_PPRF,PREPROCESSED_OT,14,8,key_setup_wall_ms,10,773.812,770.2453,6.607239885156308,763.21975,775.1295,761.124,776.8230000000001
COORDINATE_PPRF,PREPROCESSED_OT,14,8,pprf_only_time_ms,10,773.812,770.2453,6.607239885156308,763.21975,775.1295,761.124,776.8230000000001
COORDINATE_PPRF,PREPROCESSED_OT,14,8,pprf_setup_bytes,10,542384.0,542384.0,0.0,542384.0,542384.0,542384.0,542384.0
COORDINATE_PPRF,PREPROCESSED_OT,14,8,total_comm_bytes,10,542384.0,542384.0,0.0,542384.0,542384.0,542384.0,542384.0
COORDINATE_PPRF,PREPROCESSED_OT,14,16,key_setup_wall_ms,10,1521.4044999999999,1528.1314,14.203516584908753,1518.46175,1539.0117500000001,1516.4370000000001,1552.638
COORDINATE_PPRF,PREPROCESSED_OT,14,16,pprf_only_time_ms,10,1521.4044999999999,1528.1314,14.203516584908753,1518.46175,1539.0117500000001,1516.4370000000001,1552.638
COORDINATE_PPRF,PREPROCESSED_OT,14,16,pprf_setup_bytes,10,1084720.0,1084720.0,0.0,1084720.0,1084720.0,1084720.0,1084720.0
COORDINATE_PPRF,PREPROCESSED_OT,14,16,total_comm_bytes,10,1084720.0,1084720.0,0.0,1084720.0,1084720.0,1084720.0,1084720.0
COORDINATE_PPRF,PREPROCESSED_OT,14,32,key_setup_wall_ms,10,3047.9404999999997,3061.7258,27.15151912590614,3041.9427499999997,3086.82225,3031.663,3102.583
