method,logN,m,metric,count,median,mean,stddev,q25,q75,min,max
DIRECT_NOISY_SVOLE,12,8,total_wall_ms,10,914.4575,914.354,2.346172533202879,912.823,915.53475,910.52,918.942
DIRECT_NOISY_SVOLE,12,8,total_comm_bytes,10,134235240.0,134235240.0,0.0,134235240.0,134235240.0,134235240.0,134235240.0
DIRECT_NOISY_SVOLE,12,8,bits_per_base_field_matrix_entry,10,32772.275390625,32772.275390625,0.0,32772.275390625,32772.275390625,32772.275390625,32772.275390625
DIRECT_NOISY_SVOLE,12,16,total_wall_ms,10,3639.8689999999997,3638.0704,10.421583886872101,3631.09825,3646.246,3618.8349999999996,3651.1059999999998
DIRECT_NOISY_SVOLE,12,16,total_comm_bytes,10,536905832.0,536905832.0,0.0,536905832.0,536905832.0,536905832.0,536905832.0
DIRECT_NOISY_SVOLE,12,16,bits_per_base_field_matrix_entry,10,65540.2626953125,65540.2626953125,0.0,65540.2626953125,65540.2626953125,65540.2626953125,65540.2626953125
DIRECT_NOISY_SVOLE,12,32,total_wall_ms,5,9969.713,9966.700799999999,43.23603631463004,9941.152,9972.654999999999,9917.360999999999,10032.623
DIRECT_NOISY_SVOLE,12,32,total_comm_bytes,5,2147553384.0,2147553384.0,0.0,2147553384.0,2147553384.0,2147553384.0,2147553384.0
DIRECT_NOISY_SVOLE,12,32,bits_per_base_field_matrix_entry,5,131076.25634765625,131076.25634765625,0.0,131076.25634765625,131076.25634765625,131076.25634765625,131076.25634765625
DIRECT_NOISY_SVOLE,14,8,total_wall_ms,10,3775.5055,3775.3407,7.484906576274276,3771.7480000000005,3778.69575,3763.088,3788.604
DIRECT_NOISY_SVOLE,14,8,total_comm_bytes,10,536888424.0,536888424.0,0.0,536888424.0,536888424.0,536888424.0,536888424.0
DIRECT_NOISY_SVOLE,14,8,bits_per_base_field_matrix_entry,10,32769.06884765625,32769.06884765625,0.0,32769.06884765625,32769.06884765625,32769.06884765625,32769.06884765625
DIRECT_NOISY_SVOLE,14,16,total_wall_ms,5,14259.329,14255.2364,11.675314184209471,14254.31,14263.087000000001,14235.492,14263.964
DIRECT_NOISY_SVOLE,14,16,total_comm_bytes,5,2147518568.0,2147518568.0,0.0,2147518568.0,2147518568.0,2147518568.0,2147518568.0
DIRECT_NOISY_SVOLE,14,16,bits_per_base_field_matrix_entry,5,65537.06567382812,65537.06567382812,0.0,65537.06567382812,65537.06567382812,65537.06567382812,65537.06567382812
DIRECT_NOISY_SVOLE,16,8,total_wall_ms,5,14872.467,14858.0852,54.966267152682605,14843.291000000001,14886.868,14771.689999999999,14916.11
DIRECT_NOISY_SVOLE,16,8,total_comm_bytes,5,2147501160.0,2147501160.0,0.0,2147501160.0,2147501160.0,2147501160.0,2147501160.0
DIRECT_NOISY_SVOLE,16,8,bits_per_base_field_matrix_entry,5,32768.26721191406,32768.26721191406,0.0,32768.26721191406,32768.26721191406,32768.26721191406,32768.26721191406
