method,logN,N,m,trial_index,pprf_instance_count,base_ot_protocol_invocations,pprf_base_ot_count
RM_VECTOR,12,4096,8,-1,2,2,768
RM_VECTOR,12,4096,8,0,2,2,768
RM_VECTOR,12,4096,8,1,2,2,768
RM_VECTOR,12,4096,8,2,2,2,768
RM_VECTOR,12,4096,8,3,2,2,768
RM_VECTOR,12,4096,8,4,2,2,768
RM_VECTOR,12,4096,8,5,2,2,768
RM_VECTOR,12,4096,8,6,2,2,768
RM_VECTOR,12,4096,8,7,2,2,768
RM_VECTOR,12,4096,8,8,2,2,768
RM_VECTOR,12,4096,8,9,2,2,768
RM_COORD,12,4096,8,-1,16,16,6144
RM_COORD,12,4096,8,0,16,16,6144
RM_COORD,12,4096,8,1,16,16,6144
RM_COORD,12,4096,8,2,16,16,6144
RM_COORD,12,4096,8,3,16,16,6144
RM_COORD,12,4096,8,4,16,16,6144
RM_COORD,12,4096,8,5,16,16,6144
RM_COORD,12,4096,8,6,16,16,6144
RM_COORD,12,4096,8,7,16,16,6144
RM_COORD,12,4096,8,8,16,16,6144
RM_COORD,12,4096,8,9,16,16,6144
RM_VECTOR,12,4096,16,-1,2,2,768
RM_VECTOR,12,4096,16,0,2,2,768
RM_VECTOR,12,4096,16,1,2,2,768
RM_VECTOR,12,4096,16,2,2,2,768
RM_VECTOR,12,4096,16,3,2,2,768
RM_VECTOR,12,4096,16,4,2,2,768
RM_VECTOR,12,4096,16,5,2,2,768
RM_VECTOR,12,4096,16,6,2,2,768
RM_VECTOR,12,4096,16,7,2,2,768
RM_VECTOR,12,4096,16,8,2,2,768
RM_VECTOR,12,4096,16,9,2,2,768
RM_COORD,12,4096,16,-1,32,32,12288
RM_COORD,12,4096,16,0,32,32,12288
RM_COORD,12,4096,16,1,32,32,12288
RM_COORD,12,4096,16,2,32,32,12288
RM_COORD,12,4096,16,3,32,32,12288
RM_COORD,12,4096,16,4,32,32,12288
RM_COORD,12,4096,16,5,32,32,12288
RM_COORD,12,4096,16,6,32,32,12288
RM_COORD,12,4096,16,7,32,32,12288
RM_COORD,12,4096,16,8,32,32,12288
RM_COORD,12,4096,16,9,32,32,12288
RM_VECTOR,12,4096,32,-1,2,2,768
RM_VECTOR,12,4096,32,0,2,2,768
RM_VECTOR,12,4096,32,1,2,2,768
RM_VECTOR,12,4096,32,2,2,2,768
RM_VECTOR,12,4096,32,3,2,2,768
RM_VECTOR,12,4096,32,4,2,2,768
RM_VECTOR,12,4096,32,5,2,2,768
RM_VECTOR,12,4096,32,6,2,2,768
RM_VECTOR,12,4096,32,7,2,2,768
RM_VECTOR,12,4096,32,8,2,2,768
RM_VECTOR,12,4096,32,9,2,2,768
RM_COORD,12,4096,32,-1,64,64,24576
RM_COORD,12,4096,32,0,64,64,24576
RM_COORD,12,4096,32,1,64,64,24576
RM_COORD,12,4096,32,2,64,64,24576
RM_COORD,12,4096,32,3,64,64,24576
RM_COORD,12,4096,32,4,64,64,24576
RM_COORD,12,4096,32,5,64,64,24576
RM_COORD,12,4096,32,6,64,64,24576
RM_COORD,12,4096,32,7,64,64,24576
RM_COORD,12,4096,32,8,64,64,24576
RM_COORD,12,4096,32,9,64,64,24576
RM_VECTOR,14,16384,8,-1,2,2,1024
RM_VECTOR,14,16384,8,0,2,2,1024
RM_VECTOR,14,16384,8,1,2,2,1024
RM_VECTOR,14,16384,8,2,2,2,1024
RM_VECTOR,14,16384,8,3,2,2,1024
RM_VECTOR,14,16384,8,4,2,2,1024
RM_VECTOR,14,16384,8,5,2,2,1024
RM_VECTOR,14,16384,8,6,2,2,1024
RM_VECTOR,14,16384,8,7,2,2,1024
RM_VECTOR,14,16384,8,8,2,2,1024
RM_VECTOR,14,16384,8,9,2,2,1024
RM_COORD,14,16384,8,-1,16,16,8192
RM_COORD,14,16384,8,0,16,16,8192
RM_COORD,14,16384,8,1,16,16,8192
RM_COORD,14,16384,8,2,16,16,8192
RM_COORD,14,16384,8,3,16,16,8192
RM_COORD,14,16384,8,4,16,16,8192
RM_COORD,14,16384,8,5,16,16,8192
RM_COORD,14,16384,8,6,16,16,8192
RM_COORD,14,16384,8,7,16,16,8192
RM_COORD,14,16384,8,8,16,16,8192
RM_COORD,14,16384,8,9,16,16,8192
RM_VECTOR,14,16384,16,-1,2,2,1024
RM_VECTOR,14,16384,16,0,2,2,1024
RM_VECTOR,14,16384,16,1,2,2,1024
RM_VECTOR,14,16384,16,2,2,2,1024
RM_VECTOR,14,16384,16,3,2,2,1024
RM_VECTOR,14,16384,16,4,2,2,1024
RM_VECTOR,14,16384,16,5,2,2,1024
RM_VECTOR,14,16384,16,6,2,2,1024
RM_VECTOR,14,16384,16,7,2,2,1024
RM_VECTOR,14,16384,16,8,2,2,1024
RM_VECTOR,14,16384,16,9,2,2,1024
RM_COORD,14,16384,16,-1,32,32,16384
RM_COORD,14,16384,16,0,32,32,16384
RM_COORD,14,16384,16,1,32,32,16384
RM_COORD,14,16384,16,2,32,32,16384
RM_COORD,14,16384,16,3,32,32,16384
RM_COORD,14,16384,16,4,32,32,16384
RM_COORD,14,16384,16,5,32,32,16384
RM_COORD,14,16384,16,6,32,32,16384
RM_COORD,14,16384,16,7,32,32,16384
RM_COORD,14,16384,16,8,32,32,16384
RM_COORD,14,16384,16,9,32,32,16384
RM_VECTOR,14,16384,32,-1,2,2,1024
RM_VECTOR,14,16384,32,0,2,2,1024
RM_VECTOR,14,16384,32,1,2,2,1024
RM_VECTOR,14,16384,32,2,2,2,1024
RM_VECTOR,14,16384,32,3,2,2,1024
RM_VECTOR,14,16384,32,4,2,2,1024
RM_VECTOR,14,16384,32,5,2,2,1024
RM_VECTOR,14,16384,32,6,2,2,1024
RM_VECTOR,14,16384,32,7,2,2,1024
RM_VECTOR,14,16384,32,8,2,2,1024
RM_VECTOR,14,16384,32,9,2,2,1024
RM_COORD,14,16384,32,-1,64,64,32768
RM_COORD,14,16384,32,0,64,64,32768
RM_COORD,14,16384,32,1,64,64,32768
RM_COORD,14,16384,32,2,64,64,32768
RM_COORD,14,16384,32,3,64,64,32768
RM_COORD,14,16384,32,4,64,64,32768
RM_COORD,14,16384,32,5,64,64,32768
RM_COORD,14,16384,32,6,64,64,32768
RM_COORD,14,16384,32,7,64,64,32768
RM_COORD,14,16384,32,8,64,64,32768
RM_COORD,14,16384,32,9,64,64,32768
RM_VECTOR,16,65536,8,-1,2,2,1280
RM_VECTOR,16,65536,8,0,2,2,1280
RM_VECTOR,16,65536,8,1,2,2,1280
RM_VECTOR,16,65536,8,2,2,2,1280
RM_VECTOR,16,65536,8,3,2,2,1280
RM_VECTOR,16,65536,8,4,2,2,1280
RM_VECTOR,16,65536,8,5,2,2,1280
RM_VECTOR,16,65536,8,6,2,2,1280
RM_VECTOR,16,65536,8,7,2,2,1280
RM_VECTOR,16,65536,8,8,2,2,1280
RM_VECTOR,16,65536,8,9,2,2,1280
RM_COORD,16,65536,8,-1,16,16,10240
RM_COORD,16,65536,8,0,16,16,10240
RM_COORD,16,65536,8,1,16,16,10240
RM_COORD,16,65536,8,2,16,16,10240
RM_COORD,16,65536,8,3,16,16,10240
RM_COORD,16,65536,8,4,16,16,10240
RM_COORD,16,65536,8,5,16,16,10240
RM_COORD,16,65536,8,6,16,16,10240
RM_COORD,16,65536,8,7,16,16,10240
