logN,N,m,requested_N,generated_N,code_family,code_rate,noise_weight,partition_count,size_per_partition,code_size,base_ot_count,base_noisy_vole_count,predicted_traffic_bytes,predicted_peak_memory_bytes,output_memory_bytes,temporary_encoder_buffer_bytes,timeout_estimate_s,status,skip_reason,actual_generated_length,outputs_truncated,security_setting,supported
12,4096,8,4096,4096,ExConv7x24,0.4857685009487666,248,248,34,8432,1488,248,1174528,2945024,786432,2158592,,OK,,4096,0,semi-honest-128,1
12,4096,16,4096,4096,ExConv7x24,0.4857685009487666,248,248,34,8432,1488,248,2253824,5890048,1572864,4317184,,OK,,4096,0,semi-honest-128,1
12,4096,32,4096,4096,ExConv7x24,0.4857685009487666,248,248,34,8432,1488,248,4412416,11780096,3145728,8634368,,OK,,4096,0,semi-honest-128,1
14,16384,8,16384,16384,ExConv7x24,0.4930187770823303,248,248,134,33232,1984,248,4380672,11653120,3145728,8507392,,OK,,16384,0,semi-honest-128,1
14,16384,16,16384,16384,ExConv7x24,0.4930187770823303,248,248,134,33232,1984,248,8634368,23306240,6291456,17014784,,OK,,16384,0,semi-honest-128,1
14,16384,32,16384,16384,ExConv7x24,0.4930187770823303,248,248,134,33232,1984,248,17141760,46612480,12582912,34029568,,OK,,16384,0,semi-honest-128,1
16,65536,8,65536,65536,ExConv7x24,0.49860012172854534,248,248,530,131440,2480,248,16983040,46231552,12582912,33648640,,OK,,65536,0,semi-honest-128,1
16,65536,16,65536,65536,ExConv7x24,0.49860012172854534,248,248,530,131440,2480,248,33807360,92463104,25165824,67297280,,OK,,65536,0,semi-honest-128,1
16,65536,32,65536,65536,ExConv7x24,0.49860012172854534,248,248,530,131440,2480,248,67456000,184926208,50331648,134594560,,OK,,65536,0,semi-honest-128,1
18,262144,8,262144,262144,ExConv7x24,0.49954265503994144,248,248,2116,524768,2976,248,67360768,184672256,50331648,134340608,,OK,,262144,0,semi-honest-128,1
18,262144,16,262144,262144,ExConv7x24,0.49954265503994144,248,248,2116,524768,2976,248,134531072,369344512,100663296,268681216,,OK,,262144,0,semi-honest-128,1
18,262144,32,262144,262144,ExConv7x24,0.49954265503994144,248,248,2116,524768,2976,248,268871680,738689024,201326592,537362432,,OK,,262144,0,semi-honest-128,1
20,1048576,8,1048576,1048576,ExConv7x24,0.4998970243861509,248,248,8458,2097584,3472,248,268712960,738308096,201326592,536981504,,OK,,1048576,0,semi-honest-128,1
20,1048576,16,1048576,1048576,ExConv7x24,0.4998970243861509,248,248,8458,2097584,3472,248,537203712,1476616192,402653184,1073963008,,OK,,1048576,0,semi-honest-128,1
20,1048576,32,1048576,1048576,ExConv7x24,0.4998970243861509,248,248,8458,2097584,3472,248,1074185216,2953232384,805306368,2147926016,,OK,,1048576,0,semi-honest-128,1
