timestamp,benchmark_source_commit,method,base_ot_mode,p,base_field_bits,base_coordinate_storage_bits,lambda,logN,N,m,trial_index,warmup,status,data_source,network,transport,relation,security_mode,requested_N,generated_N,code_family,code_size,noise_weight,partition_count,size_per_partition,base_ot_count,base_ot_protocol_invocations,pprf_instance_count,pprf_base_ot_count,base_noisy_vole_count,silent_extension_count,base_correlation_setup_ms,silent_extension_ms,local_output_mapping_ms,total_wall_ms,p0_cpu_work_ms,p1_cpu_work_ms,total_cpu_work_ms,p0_peak_rss_bytes,p1_peak_rss_bytes,p0_bytes_sent,p0_bytes_received,p1_bytes_sent,p1_bytes_received,total_comm_bytes,total_received_bytes,sent_received_delta_bytes,base_ot_bytes,base_noisy_vole_bytes,silent_payload_bytes,direct_base_ot_bytes,direct_payload_bytes,silent_base_ot_bytes,silent_base_noisy_vole_bytes,silent_extension_payload_bytes,framing_bytes,bytes_per_svole_coordinate,bits_per_base_field_matrix_entry,notes
2026-07-24T02:42:36.029714+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,SILENT_SVOLE,INCLUDING_BASE_OT,2305843009213693951,61,64,128,12,4096,8,-1,1,OK,measured,tcp-loopback,TCP loopback,Z0[i][j] + Z1[i][j] = x[i] * Delta[j] mod p,semi-honest-128,4096,4096,ExConv7x24,8432,248,248,34,1488,1,0,0,248,1,332.32099999999997,57.618,0.0,348.58099999999996,348.58099999999996,334.575,683.156,,,8174288,119928,119928,8174288,8294152,8294152,0,,64328,8126472,,,95232,64328,8126472,103416,253.117431640625,2024.939453125,tcp_two_process;
2026-07-24T02:42:36.589338+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,SILENT_SVOLE,INCLUDING_BASE_OT,2305843009213693951,61,64,128,12,4096,8,0,0,OK,measured,tcp-loopback,TCP loopback,Z0[i][j] + Z1[i][j] = x[i] * Delta[j] mod p,semi-honest-128,4096,4096,ExConv7x24,8432,248,248,34,1488,1,0,0,248,1,335.923,58.573,0.0,350.375,350.375,338.146,688.521,,,8174288,119928,119928,8174288,8294152,8294152,0,,64328,8126472,,,95232,64328,8126472,103416,253.117431640625,2024.939453125,tcp_two_process;
2026-07-24T02:42:37.148064+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,SILENT_SVOLE,INCLUDING_BASE_OT,2305843009213693951,61,64,128,12,4096,8,1,0,OK,measured,tcp-loopback,TCP loopback,Z0[i][j] + Z1[i][j] = x[i] * Delta[j] mod p,semi-honest-128,4096,4096,ExConv7x24,8432,248,248,34,1488,1,0,0,248,1,334.656,57.548,0.0,348.775,348.775,336.878,685.653,,,8174288,119928,119928,8174288,8294152,8294152,0,,64328,8126472,,,95232,64328,8126472,103416,253.117431640625,2024.939453125,tcp_two_process;
2026-07-24T02:42:37.706712+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,SILENT_SVOLE,INCLUDING_BASE_OT,2305843009213693951,61,64,128,12,4096,8,2,0,OK,measured,tcp-loopback,TCP loopback,Z0[i][j] + Z1[i][j] = x[i] * Delta[j] mod p,semi-honest-128,4096,4096,ExConv7x24,8432,248,248,34,1488,1,0,0,248,1,333.404,58.024,0.0,348.986,348.986,335.62199999999996,684.608,,,8174288,119928,119928,8174288,8294152,8294152,0,,64328,8126472,,,95232,64328,8126472,103416,253.117431640625,2024.939453125,tcp_two_process;
2026-07-24T02:42:38.266471+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,SILENT_SVOLE,INCLUDING_BASE_OT,2305843009213693951,61,64,128,12,4096,8,3,0,OK,measured,tcp-loopback,TCP loopback,Z0[i][j] + Z1[i][j] = x[i] * Delta[j] mod p,semi-honest-128,4096,4096,ExConv7x24,8432,248,248,34,1488,1,0,0,248,1,332.068,58.026,0.0,348.603,348.603,334.277,682.8799999999999,,,8174288,119928,119928,8174288,8294152,8294152,0,,64328,8126472,,,95232,64328,8126472,103416,253.117431640625,2024.939453125,tcp_two_process;
2026-07-24T02:42:38.824892+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,SILENT_SVOLE,INCLUDING_BASE_OT,2305843009213693951,61,64,128,12,4096,8,4,0,OK,measured,tcp-loopback,TCP loopback,Z0[i][j] + Z1[i][j] = x[i] * Delta[j] mod p,semi-honest-128,4096,4096,ExConv7x24,8432,248,248,34,1488,1,0,0,248,1,327.583,57.923,0.0,349.017,349.017,329.803,678.8199999999999,,,8174288,119928,119928,8174288,8294152,8294152,0,,64328,8126472,,,95232,64328,8126472,103416,253.117431640625,2024.939453125,tcp_two_process;
2026-07-24T02:42:39.384605+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,SILENT_SVOLE,INCLUDING_BASE_OT,2305843009213693951,61,64,128,12,4096,8,5,0,OK,measured,tcp-loopback,TCP loopback,Z0[i][j] + Z1[i][j] = x[i] * Delta[j] mod p,semi-honest-128,4096,4096,ExConv7x24,8432,248,248,34,1488,1,0,0,248,1,335.192,59.21,0.0,350.105,350.105,337.446,687.551,,,8174288,119928,119928,8174288,8294152,8294152,0,,64328,8126472,,,95232,64328,8126472,103416,253.117431640625,2024.939453125,tcp_two_process;
2026-07-24T02:42:39.945598+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,SILENT_SVOLE,INCLUDING_BASE_OT,2305843009213693951,61,64,128,12,4096,8,6,0,OK,measured,tcp-loopback,TCP loopback,Z0[i][j] + Z1[i][j] = x[i] * Delta[j] mod p,semi-honest-128,4096,4096,ExConv7x24,8432,248,248,34,1488,1,0,0,248,1,332.31100000000004,58.245,0.0,349.84700000000004,349.84700000000004,334.537,684.384,,,8174288,119928,119928,8174288,8294152,8294152,0,,64328,8126472,,,95232,64328,8126472,103416,253.117431640625,2024.939453125,tcp_two_process;
2026-07-24T02:42:40.504122+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,SILENT_SVOLE,INCLUDING_BASE_OT,2305843009213693951,61,64,128,12,4096,8,7,0,OK,measured,tcp-loopback,TCP loopback,Z0[i][j] + Z1[i][j] = x[i] * Delta[j] mod p,semi-honest-128,4096,4096,ExConv7x24,8432,248,248,34,1488,1,0,0,248,1,334.67900000000003,58.181999999999995,0.0,349.196,349.196,336.914,686.11,,,8174288,119928,119928,8174288,8294152,8294152,0,,64328,8126472,,,95232,64328,8126472,103416,253.117431640625,2024.939453125,tcp_two_process;
2026-07-24T02:42:41.064240+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,SILENT_SVOLE,INCLUDING_BASE_OT,2305843009213693951,61,64,128,12,4096,8,8,0,OK,measured,tcp-loopback,TCP loopback,Z0[i][j] + Z1[i][j] = x[i] * Delta[j] mod p,semi-honest-128,4096,4096,ExConv7x24,8432,248,248,34,1488,1,0,0,248,1,334.844,58.501,0.0,349.719,349.719,337.065,686.7840000000001,,,8174288,119928,119928,8174288,8294152,8294152,0,,64328,8126472,,,95232,64328,8126472,103416,253.117431640625,2024.939453125,tcp_two_process;
