method,logN,m,metric,count,median,mean,stddev,q25,q75,min,max
DIRECT_NOISY_SVOLE,12,8,total_comm_bytes,10,134235240.0,134235240.0,0.0,134235240.0,134235240.0,134235240.0,134235240.0
DIRECT_NOISY_SVOLE,12,16,total_comm_bytes,10,536905832.0,536905832.0,0.0,536905832.0,536905832.0,536905832.0,536905832.0
DIRECT_NOISY_SVOLE,12,32,total_comm_bytes,5,2147553384.0,2147553384.0,0.0,2147553384.0,2147553384.0,2147553384.0,2147553384.0
DIRECT_NOISY_SVOLE,14,8,total_comm_bytes,10,536888424.0,536888424.0,0.0,536888424.0,536888424.0,536888424.0,536888424.0
DIRECT_NOISY_SVOLE,14,16,total_comm_bytes,5,2147518568.0,2147518568.0,0.0,2147518568.0,2147518568.0,2147518568.0,2147518568.0
DIRECT_NOISY_SVOLE,16,8,total_comm_bytes,5,2147501160.0,2147501160.0,0.0,2147501160.0,2147501160.0,2147501160.0,2147501160.0
SILENT_SVOLE,12,8,total_comm_bytes,10,8294152.0,8294152.0,0.0,8294152.0,8294152.0,8294152.0,8294152.0
SILENT_SVOLE,12,16,total_comm_bytes,10,32753416.0,32753416.0,0.0,32753416.0,32753416.0,32753416.0,32753416.0
SILENT_SVOLE,12,32,total_comm_bytes,10,130430728.0,130430728.0,0.0,130430728.0,130430728.0,130430728.0,130430728.0
SILENT_SVOLE,14,8,total_comm_bytes,10,8325896.0,8325896.0,0.0,8325896.0,8325896.0,8325896.0,8325896.0
SILENT_SVOLE,14,16,total_comm_bytes,10,32785160.0,32785160.0,0.0,32785160.0,32785160.0,32785160.0,32785160.0
SILENT_SVOLE,14,32,total_comm_bytes,10,130462472.0,130462472.0,0.0,130462472.0,130462472.0,130462472.0,130462472.0
SILENT_SVOLE,16,8,total_comm_bytes,10,8357640.0,8357640.0,0.0,8357640.0,8357640.0,8357640.0,8357640.0
SILENT_SVOLE,16,16,total_comm_bytes,10,32816904.0,32816904.0,0.0,32816904.0,32816904.0,32816904.0,32816904.0
SILENT_SVOLE,16,32,total_comm_bytes,10,130494216.0,130494216.0,0.0,130494216.0,130494216.0,130494216.0,130494216.0
SILENT_SVOLE,18,8,total_comm_bytes,10,8389384.0,8389384.0,0.0,8389384.0,8389384.0,8389384.0,8389384.0
SILENT_SVOLE,18,16,total_comm_bytes,10,32848648.0,32848648.0,0.0,32848648.0,32848648.0,32848648.0,32848648.0
SILENT_SVOLE,18,32,total_comm_bytes,10,130525960.0,130525960.0,0.0,130525960.0,130525960.0,130525960.0,130525960.0
SILENT_SVOLE,20,8,total_comm_bytes,10,8421128.0,8421128.0,0.0,8421128.0,8421128.0,8421128.0,8421128.0
SILENT_SVOLE,20,16,total_comm_bytes,10,32880392.0,32880392.0,0.0,32880392.0,32880392.0,32880392.0,32880392.0
SILENT_SVOLE,20,32,total_comm_bytes,10,130557704.0,130557704.0,0.0,130557704.0,130557704.0,130557704.0,130557704.0
