method,logN,m,metric,count,median,mean,stddev,q25,q75,min,max
DIRECT_NOISY_SVOLE,12,8,total_wall_ms,10,914.4575,914.354,2.346172533202879,912.823,915.53475,910.52,918.942
DIRECT_NOISY_SVOLE,12,16,total_wall_ms,10,3639.8689999999997,3638.0704,10.421583886872101,3631.09825,3646.246,3618.8349999999996,3651.1059999999998
DIRECT_NOISY_SVOLE,12,32,total_wall_ms,5,9969.713,9966.700799999999,43.23603631463004,9941.152,9972.654999999999,9917.360999999999,10032.623
DIRECT_NOISY_SVOLE,14,8,total_wall_ms,10,3775.5055,3775.3407,7.484906576274276,3771.7480000000005,3778.69575,3763.088,3788.604
DIRECT_NOISY_SVOLE,14,16,total_wall_ms,5,14259.329,14255.2364,11.675314184209471,14254.31,14263.087000000001,14235.492,14263.964
DIRECT_NOISY_SVOLE,16,8,total_wall_ms,5,14872.467,14858.0852,54.966267152682605,14843.291000000001,14886.868,14771.689999999999,14916.11
SILENT_SVOLE,12,8,total_wall_ms,10,349.1065,349.2923,0.6854651381037273,348.8277499999999,349.81500000000005,348.3,350.375
SILENT_SVOLE,12,16,total_wall_ms,10,538.5474999999999,538.3686,0.771114518084061,537.93,538.6655000000001,536.886,539.411
SILENT_SVOLE,12,32,total_wall_ms,10,1178.862,1179.1781999999998,2.27988853528703,1177.4547499999999,1181.01625,1176.037,1182.596
SILENT_SVOLE,14,8,total_wall_ms,10,460.524,460.83209999999997,1.4058561211352056,460.44550000000004,460.8137499999999,458.708,464.358
SILENT_SVOLE,14,16,total_wall_ms,10,626.502,627.2116,1.9651529881071972,625.73825,629.2215,624.803,629.886
SILENT_SVOLE,14,32,total_wall_ms,10,1266.3815,1267.0309,1.88193118601312,1265.48,1268.4930000000002,1265.236,1270.1979999999999
SILENT_SVOLE,16,8,total_wall_ms,10,598.12,598.2995999999999,1.2930144967821806,597.7985,598.353,596.883,601.545
SILENT_SVOLE,16,16,total_wall_ms,10,752.72,752.8387,2.67184705359005,751.0717500000001,753.6184999999999,749.544,758.772
SILENT_SVOLE,16,32,total_wall_ms,10,1267.6195,1267.9466,2.440833063616732,1266.31225,1268.85675,1264.581,1273.3890000000001
SILENT_SVOLE,18,8,total_wall_ms,10,874.693,875.492,3.1618978478123054,873.0387499999999,876.8085,872.317,882.697
SILENT_SVOLE,18,16,total_wall_ms,10,1174.1655,1173.3758,7.020129593612272,1167.867,1176.867,1162.16,1184.527
SILENT_SVOLE,18,32,total_wall_ms,10,1751.998,1753.4672,15.596458677818141,1739.8049999999998,1764.7420000000002,1734.612,1779.061
SILENT_SVOLE,20,8,total_wall_ms,10,1951.6525000000001,1951.1678,6.717212364929002,1945.5457500000002,1957.6475,1941.608,1958.887
SILENT_SVOLE,20,16,total_wall_ms,10,2965.9179999999997,2966.0199000000002,9.443265189188292,2958.392,2968.9297500000002,2954.529,2986.704
SILENT_SVOLE,20,32,total_wall_ms,10,3951.375,3943.6447000000003,31.289876591674492,3921.3772500000005,3969.076,3887.1310000000003,3984.592
