method,base_ot_mode,logN,m,metric,count,median,mean,stddev,q25,q75,min,max
COORDINATE_PPRF,INCLUDING_OT,12,8,key_setup_wall_ms,10,578.0175,576.1829,3.82875083922798,574.29,578.9815000000001,569.601,580.1610000000001
COORDINATE_PPRF,INCLUDING_OT,12,8,pprf_only_time_ms,10,578.0175,576.1829,3.82875083922798,574.29,578.9815000000001,569.601,580.1610000000001
COORDINATE_PPRF,INCLUDING_OT,12,8,pprf_setup_bytes,10,407216.0,407216.0,0.0,407216.0,407216.0,407216.0,407216.0
COORDINATE_PPRF,INCLUDING_OT,12,8,total_comm_bytes,10,407216.0,407216.0,0.0,407216.0,407216.0,407216.0,407216.0
COORDINATE_PPRF,INCLUDING_OT,12,16,key_setup_wall_ms,10,1151.141,1148.5166,13.205618191596466,1136.6205,1160.84275,1131.146,1162.2920000000001
COORDINATE_PPRF,INCLUDING_OT,12,16,pprf_only_time_ms,10,1151.141,1148.5166,13.205618191596466,1136.6205,1160.84275,1131.146,1162.2920000000001
COORDINATE_PPRF,INCLUDING_OT,12,16,pprf_setup_bytes,10,814384.0,814384.0,0.0,814384.0,814384.0,814384.0,814384.0
COORDINATE_PPRF,INCLUDING_OT,12,16,total_comm_bytes,10,814384.0,814384.0,0.0,814384.0,814384.0,814384.0,814384.0
COORDINATE_PPRF,INCLUDING_OT,12,32,key_setup_wall_ms,10,2304.4925,2301.8822999999998,20.164779294877256,2284.1385,2318.67925,2275.518,2325.781
COORDINATE_PPRF,INCLUDING_OT,12,32,pprf_only_time_ms,10,2304.4925,2301.8822999999998,20.164779294877256,2284.1385,2318.67925,2275.518,2325.781
COORDINATE_PPRF,INCLUDING_OT,12,32,pprf_setup_bytes,10,1628720.0,1628720.0,0.0,1628720.0,1628720.0,1628720.0,1628720.0
COORDINATE_PPRF,INCLUDING_OT,12,32,total_comm_bytes,10,1628720.0,1628720.0,0.0,1628720.0,1628720.0,1628720.0,1628720.0
COORDINATE_PPRF,INCLUDING_OT,14,8,key_setup_wall_ms,10,768.0535,766.5439,5.403231182460317,761.376,771.2257500000001,759.328,772.6800000000001
COORDINATE_PPRF,INCLUDING_OT,14,8,pprf_only_time_ms,10,768.0535,766.5439,5.403231182460317,761.376,771.2257500000001,759.328,772.6800000000001
COORDINATE_PPRF,INCLUDING_OT,14,8,pprf_setup_bytes,10,542384.0,542384.0,0.0,542384.0,542384.0,542384.0,542384.0
COORDINATE_PPRF,INCLUDING_OT,14,8,total_comm_bytes,10,542384.0,542384.0,0.0,542384.0,542384.0,542384.0,542384.0
COORDINATE_PPRF,INCLUDING_OT,14,16,key_setup_wall_ms,10,1526.7075,1524.0166,11.293495425834033,1514.80375,1532.65775,1504.625,1539.525
