network_profile,network_label,method,logN,m,metric,count,median,mean,stddev,min,max
FAST,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,14,16,total_wall_ms,10,250.16949999999997,249.96970000000002,0.6652837063990108,248.606,250.991
FAST,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,14,16,total_comm_bytes,10,16941392.0,16941392.0,0.0,16941392.0,16941392.0
FAST,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,14,16,split_input_phase_wall_ms,10,175.659,175.518,0.5384399687987471,174.54600000000002,176.28
FAST,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,14,32,total_wall_ms,10,537.32,537.7484000000001,1.5496859165650223,535.871,540.919
FAST,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,14,32,total_comm_bytes,10,67373392.0,67373392.0,0.0,67373392.0,67373392.0
FAST,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,14,32,split_input_phase_wall_ms,10,448.68,449.0637,1.2418483039405357,447.498,451.654
FAST,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,14,8,total_wall_ms,10,131.5625,131.6865,0.4558068121474246,131.056,132.677
FAST,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,14,8,total_comm_bytes,10,4308304.0,4308304.0,0.0,4308304.0,4308304.0
FAST,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,14,8,split_input_phase_wall_ms,10,61.5925,61.6205,0.27386210033518676,61.229,62.098
FAST,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,16,16,total_wall_ms,10,303.95849999999996,304.10999999999996,1.93947389773618,301.161,308.37199999999996
FAST,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,16,16,total_comm_bytes,10,16958288.0,16958288.0,0.0,16958288.0,16958288.0
FAST,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,16,16,split_input_phase_wall_ms,10,174.929,174.9914,0.33718368881070676,174.431,175.69299999999998
FAST,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,16,32,total_wall_ms,10,633.6145,633.7533000000001,2.166861972992297,629.393,637.7080000000001
FAST,emulated TCP network,RM_VECTOR_GENERIC_SPLIT,16,32,total_comm_bytes,10,67390288.0,67390288.0,0.0,67390288.0,67390288.0
