section,profile,network_label,source_profile,method,logN,m,metric,count,median,mean,stddev,min,max
communication,COMMUNICATION,clean two-direction protocol traffic,LOCAL_TCP,RM_VECTOR_OPT,14,16,total_comm_bytes,10,2507360.0,2507360.0,0.0,2507360.0,2507360.0
communication,COMMUNICATION,clean two-direction protocol traffic,LOCAL_TCP,RM_VECTOR_OPT,14,32,total_comm_bytes,10,4571744.0,4571744.0,0.0,4571744.0,4571744.0
communication,COMMUNICATION,clean two-direction protocol traffic,LOCAL_TCP,RM_VECTOR_OPT,14,8,total_comm_bytes,10,1475168.0,1475168.0,0.0,1475168.0,1475168.0
communication,COMMUNICATION,clean two-direction protocol traffic,LOCAL_TCP,RM_VECTOR_OPT,18,16,total_comm_bytes,10,2541152.0,2541152.0,0.0,2541152.0,2541152.0
communication,COMMUNICATION,clean two-direction protocol traffic,LOCAL_TCP,RM_VECTOR_OPT,18,32,total_comm_bytes,10,4605536.0,4605536.0,0.0,4605536.0,4605536.0
communication,COMMUNICATION,clean two-direction protocol traffic,LOCAL_TCP,RM_VECTOR_OPT,18,8,total_comm_bytes,10,1508960.0,1508960.0,0.0,1508960.0,1508960.0
communication,COMMUNICATION,clean two-direction protocol traffic,LOCAL_TCP,RM_VECTOR_OPT,20,16,total_comm_bytes,10,2558048.0,2558048.0,0.0,2558048.0,2558048.0
communication,COMMUNICATION,clean two-direction protocol traffic,LOCAL_TCP,RM_VECTOR_OPT,20,32,total_comm_bytes,10,4622432.0,4622432.0,0.0,4622432.0,4622432.0
communication,COMMUNICATION,clean two-direction protocol traffic,LOCAL_TCP,RM_VECTOR_OPT,20,8,total_comm_bytes,10,1525856.0,1525856.0,0.0,1525856.0,1525856.0
communication,COMMUNICATION,clean two-direction protocol traffic,LOCAL_TCP,SILENT_SVOLE,14,16,total_comm_bytes,10,32785160.0,32785160.0,0.0,32785160.0,32785160.0
communication,COMMUNICATION,clean two-direction protocol traffic,LOCAL_TCP,SILENT_SVOLE,14,32,total_comm_bytes,10,130462472.0,130462472.0,0.0,130462472.0,130462472.0
communication,COMMUNICATION,clean two-direction protocol traffic,LOCAL_TCP,SILENT_SVOLE,14,8,total_comm_bytes,10,8325896.0,8325896.0,0.0,8325896.0,8325896.0
communication,COMMUNICATION,clean two-direction protocol traffic,LOCAL_TCP,SILENT_SVOLE,18,16,total_comm_bytes,10,32848648.0,32848648.0,0.0,32848648.0,32848648.0
communication,COMMUNICATION,clean two-direction protocol traffic,LOCAL_TCP,SILENT_SVOLE,18,32,total_comm_bytes,10,130525960.0,130525960.0,0.0,130525960.0,130525960.0
communication,COMMUNICATION,clean two-direction protocol traffic,LOCAL_TCP,SILENT_SVOLE,18,8,total_comm_bytes,10,8389384.0,8389384.0,0.0,8389384.0,8389384.0
communication,COMMUNICATION,clean two-direction protocol traffic,LOCAL_TCP,SILENT_SVOLE,20,16,total_comm_bytes,10,32880392.0,32880392.0,0.0,32880392.0,32880392.0
communication,COMMUNICATION,clean two-direction protocol traffic,LOCAL_TCP,SILENT_SVOLE,20,32,total_comm_bytes,10,130557704.0,130557704.0,0.0,130557704.0,130557704.0
communication,COMMUNICATION,clean two-direction protocol traffic,LOCAL_TCP,SILENT_SVOLE,20,8,total_comm_bytes,10,8421128.0,8421128.0,0.0,8421128.0,8421128.0
runtime,LAN,emulated TCP network,FAST,RM_VECTOR_OPT,14,16,total_wall_ms,10,120.3355,120.1747,0.8437581466273375,118.248,121.394
runtime,LAN,emulated TCP network,FAST,RM_VECTOR_OPT,14,32,total_wall_ms,10,140.808,140.89350000000002,1.794491975462697,136.992,144.954
runtime,LAN,emulated TCP network,FAST,RM_VECTOR_OPT,14,8,total_wall_ms,10,105.4625,105.769,1.0742828305432408,104.95500000000001,108.874
runtime,LAN,emulated TCP network,FAST,RM_VECTOR_OPT,18,16,total_wall_ms,10,387.30100000000004,388.1082,3.928645410316376,383.514,395.337
runtime,LAN,emulated TCP network,FAST,RM_VECTOR_OPT,18,32,total_wall_ms,10,615.81,620.6654,13.520798661321736,607.931,652.01
runtime,LAN,emulated TCP network,FAST,RM_VECTOR_OPT,18,8,total_wall_ms,10,263.5245,273.5793,31.58695629227357,256.904,367.92900000000003
runtime,LAN,emulated TCP network,FAST,RM_VECTOR_OPT,20,16,total_wall_ms,10,1226.4074999999998,1227.5735,2.816589045281557,1224.1979999999999,1233.344
runtime,LAN,emulated TCP network,FAST,RM_VECTOR_OPT,20,32,total_wall_ms,10,2367.2995,2373.2924000000003,8.662457032505289,2365.218,2387.842
runtime,LAN,emulated TCP network,FAST,RM_VECTOR_OPT,20,8,total_wall_ms,10,680.389,695.679,38.11094406860055,677.111,806.165
runtime,LAN,emulated TCP network,FAST,SILENT_SVOLE,14,16,total_wall_ms,10,641.696,641.5371,1.1817291948665423,639.9110000000001,643.5999999999999
