method,logN,m,metric,count,median,mean,stddev,min,max,table,network_profile
RM_VECTOR_OPT,12,16,total_wall_ms,10,83.48599999999999,83.5799,0.412414948807626,83.138,84.31099999999999,local_runtime,
RM_VECTOR_OPT,12,16,total_comm_bytes,10,2490464.0,2490464.0,0.0,2490464.0,2490464.0,local_runtime,
RM_VECTOR_OPT,12,32,total_wall_ms,10,93.253,93.251,0.20425670123645667,92.933,93.526,local_runtime,
RM_VECTOR_OPT,12,32,total_comm_bytes,10,4554848.0,4554848.0,0.0,4554848.0,4554848.0,local_runtime,
RM_VECTOR_OPT,12,8,total_wall_ms,10,78.255,78.325,0.2000264982446092,78.071,78.661,local_runtime,
RM_VECTOR_OPT,12,8,total_comm_bytes,10,1458272.0,1458272.0,0.0,1458272.0,1458272.0,local_runtime,
RM_VECTOR_OPT,14,16,total_wall_ms,10,117.007,117.13980000000001,0.27531610922719557,116.797,117.74900000000001,local_runtime,
RM_VECTOR_OPT,14,16,total_comm_bytes,10,2507360.0,2507360.0,0.0,2507360.0,2507360.0,local_runtime,
RM_VECTOR_OPT,14,32,total_wall_ms,10,136.707,138.2296,2.5160230603076803,136.22400000000002,144.038,local_runtime,
RM_VECTOR_OPT,14,32,total_comm_bytes,10,4571744.0,4571744.0,0.0,4571744.0,4571744.0,local_runtime,
RM_VECTOR_OPT,14,8,total_wall_ms,10,102.29599999999999,102.2401,0.24614891834009453,101.843,102.64099999999999,local_runtime,
RM_VECTOR_OPT,14,8,total_comm_bytes,10,1475168.0,1475168.0,0.0,1475168.0,1475168.0,local_runtime,
RM_VECTOR_OPT,16,16,total_wall_ms,10,180.549,180.6264,1.5212106494499642,178.62800000000001,183.35399999999998,local_runtime,
RM_VECTOR_OPT,16,16,total_comm_bytes,10,2524256.0,2524256.0,0.0,2524256.0,2524256.0,local_runtime,
RM_VECTOR_OPT,16,32,total_wall_ms,10,233.816,234.0899,4.1855948549758155,228.732,243.821,local_runtime,
RM_VECTOR_OPT,16,32,total_comm_bytes,10,4588640.0,4588640.0,0.0,4588640.0,4588640.0,local_runtime,
RM_VECTOR_OPT,16,8,total_wall_ms,10,149.04,149.4676,1.9199918853995201,147.227,154.471,local_runtime,
RM_VECTOR_OPT,16,8,total_comm_bytes,10,1492064.0,1492064.0,0.0,1492064.0,1492064.0,local_runtime,
RM_VECTOR_OPT,18,16,total_wall_ms,10,388.523,387.92379999999997,7.10772444316744,379.85,401.96999999999997,local_runtime,
RM_VECTOR_OPT,18,16,total_comm_bytes,10,2541152.0,2541152.0,0.0,2541152.0,2541152.0,local_runtime,
RM_VECTOR_OPT,18,32,total_wall_ms,10,605.4860000000001,606.9526,3.027618740858913,603.741,611.6899999999999,local_runtime,
RM_VECTOR_OPT,18,32,total_comm_bytes,10,4605536.0,4605536.0,0.0,4605536.0,4605536.0,local_runtime,
RM_VECTOR_OPT,18,8,total_wall_ms,10,259.4415,259.19739999999996,1.2898838087207563,255.79800000000003,260.883,local_runtime,
RM_VECTOR_OPT,18,8,total_comm_bytes,10,1508960.0,1508960.0,0.0,1508960.0,1508960.0,local_runtime,
RM_VECTOR_OPT,20,16,total_wall_ms,10,1221.359,1221.6313,0.8871589541902891,1220.5680000000002,1223.013,local_runtime,
RM_VECTOR_OPT,20,16,total_comm_bytes,10,2558048.0,2558048.0,0.0,2558048.0,2558048.0,local_runtime,
RM_VECTOR_OPT,20,32,total_wall_ms,10,2371.0474999999997,2371.8741,9.287678735292278,2359.6569999999997,2389.206,local_runtime,
RM_VECTOR_OPT,20,32,total_comm_bytes,10,4622432.0,4622432.0,0.0,4622432.0,4622432.0,local_runtime,
