method,logN,m,metric,count,median,mean,stddev,min,max,p25,p75
RM_VECTOR,12,8,total_comm_bytes,1,4291472.0,4291472.0,0.0,4291472.0,4291472.0,4291472.0,4291472.0
RM_VECTOR,12,8,bytes_per_rm_vole_coordinate,1,1047.72265625,1047.72265625,0.0,1047.72265625,1047.72265625,1047.72265625,1047.72265625
RM_VECTOR,12,8,bits_per_base_field_rank_one_entry,1,1047.72265625,1047.72265625,0.0,1047.72265625,1047.72265625,1047.72265625,1047.72265625
RM_VECTOR,12,16,total_comm_bytes,1,16924624.0,16924624.0,0.0,16924624.0,16924624.0,16924624.0,16924624.0
RM_VECTOR,12,16,bytes_per_rm_vole_coordinate,1,4131.98828125,4131.98828125,0.0,4131.98828125,4131.98828125,4131.98828125,4131.98828125
RM_VECTOR,12,16,bits_per_base_field_rank_one_entry,1,2065.994140625,2065.994140625,0.0,2065.994140625,2065.994140625,2065.994140625,2065.994140625
RM_VECTOR,12,32,total_comm_bytes,1,67356752.0,67356752.0,0.0,67356752.0,67356752.0,67356752.0,67356752.0
RM_VECTOR,12,32,bytes_per_rm_vole_coordinate,1,16444.51953125,16444.51953125,0.0,16444.51953125,16444.51953125,16444.51953125,16444.51953125
RM_VECTOR,12,32,bits_per_base_field_rank_one_entry,1,4111.1298828125,4111.1298828125,0.0,4111.1298828125,4111.1298828125,4111.1298828125,4111.1298828125
RM_VECTOR,14,8,total_comm_bytes,1,4308368.0,4308368.0,0.0,4308368.0,4308368.0,4308368.0,4308368.0
RM_VECTOR,14,8,bytes_per_rm_vole_coordinate,1,262.9619140625,262.9619140625,0.0,262.9619140625,262.9619140625,262.9619140625,262.9619140625
RM_VECTOR,14,8,bits_per_base_field_rank_one_entry,1,262.9619140625,262.9619140625,0.0,262.9619140625,262.9619140625,262.9619140625,262.9619140625
RM_VECTOR,14,16,total_comm_bytes,1,16941520.0,16941520.0,0.0,16941520.0,16941520.0,16941520.0,16941520.0
RM_VECTOR,14,16,bytes_per_rm_vole_coordinate,1,1034.0283203125,1034.0283203125,0.0,1034.0283203125,1034.0283203125,1034.0283203125,1034.0283203125
RM_VECTOR,14,16,bits_per_base_field_rank_one_entry,1,517.01416015625,517.01416015625,0.0,517.01416015625,517.01416015625,517.01416015625,517.01416015625
RM_VECTOR,14,32,total_comm_bytes,1,67373648.0,67373648.0,0.0,67373648.0,67373648.0,67373648.0,67373648.0
RM_VECTOR,14,32,bytes_per_rm_vole_coordinate,1,4112.1611328125,4112.1611328125,0.0,4112.1611328125,4112.1611328125,4112.1611328125,4112.1611328125
RM_VECTOR,14,32,bits_per_base_field_rank_one_entry,1,1028.040283203125,1028.040283203125,0.0,1028.040283203125,1028.040283203125,1028.040283203125,1028.040283203125
RM_VECTOR,16,8,total_comm_bytes,1,4325264.0,4325264.0,0.0,4325264.0,4325264.0,4325264.0,4325264.0
RM_VECTOR,16,8,bytes_per_rm_vole_coordinate,1,65.998291015625,65.998291015625,0.0,65.998291015625,65.998291015625,65.998291015625,65.998291015625
RM_VECTOR,16,8,bits_per_base_field_rank_one_entry,1,65.998291015625,65.998291015625,0.0,65.998291015625,65.998291015625,65.998291015625,65.998291015625
RM_VECTOR,16,16,total_comm_bytes,1,16958416.0,16958416.0,0.0,16958416.0,16958416.0,16958416.0,16958416.0
RM_VECTOR,16,16,bytes_per_rm_vole_coordinate,1,258.764892578125,258.764892578125,0.0,258.764892578125,258.764892578125,258.764892578125,258.764892578125
RM_VECTOR,16,16,bits_per_base_field_rank_one_entry,1,129.3824462890625,129.3824462890625,0.0,129.3824462890625,129.3824462890625,129.3824462890625,129.3824462890625
RM_VECTOR,16,32,total_comm_bytes,1,67390544.0,67390544.0,0.0,67390544.0,67390544.0,67390544.0,67390544.0
