method,logN,m,metric,count,median,mean,stddev,min,max,p25,p75
RM_VECTOR,12,8,expand_total_ms,2,1.098,1.098,0.07778174593052013,1.0430000000000001,1.153,1.0430000000000001,1.0430000000000001
RM_VECTOR,12,8,expand_latency_ms,2,1.153,1.153,0.0,1.153,1.153,1.153,1.153
RM_VECTOR,12,8,expand_cpu_work_ms,2,2.196,2.196,0.0,2.196,2.196,2.196,2.196
RM_VECTOR,12,16,expand_total_ms,2,1.4125,1.4125,0.013435028842544494,1.403,1.4220000000000002,1.403,1.403
RM_VECTOR,12,16,expand_latency_ms,2,1.4220000000000002,1.4220000000000002,0.0,1.4220000000000002,1.4220000000000002,1.4220000000000002,1.4220000000000002
RM_VECTOR,12,16,expand_cpu_work_ms,2,2.825,2.825,0.0,2.825,2.825,2.825,2.825
RM_VECTOR,12,32,expand_total_ms,2,4.6215,4.6215,0.03464823227814047,4.597,4.646,4.597,4.597
RM_VECTOR,12,32,expand_latency_ms,2,4.646,4.646,0.0,4.646,4.646,4.646,4.646
RM_VECTOR,12,32,expand_cpu_work_ms,2,9.243,9.243,0.0,9.243,9.243,9.243,9.243
RM_VECTOR,14,8,expand_total_ms,2,4.818,4.818,0.19233304448274047,4.682,4.954,4.682,4.682
RM_VECTOR,14,8,expand_latency_ms,2,4.954,4.954,0.0,4.954,4.954,4.954,4.954
RM_VECTOR,14,8,expand_cpu_work_ms,2,9.636,9.636,0.0,9.636,9.636,9.636,9.636
RM_VECTOR,14,16,expand_total_ms,2,9.5565,9.5565,0.19869700551342026,9.416,9.697000000000001,9.416,9.416
RM_VECTOR,14,16,expand_latency_ms,2,9.697000000000001,9.697000000000001,0.0,9.697000000000001,9.697000000000001,9.697000000000001,9.697000000000001
RM_VECTOR,14,16,expand_cpu_work_ms,2,19.113,19.113,0.0,19.113,19.113,19.113,19.113
RM_VECTOR,14,32,expand_total_ms,2,12.136,12.136,0.23758787847868018,11.968,12.304,11.968,11.968
RM_VECTOR,14,32,expand_latency_ms,2,12.304,12.304,0.0,12.304,12.304,12.304,12.304
RM_VECTOR,14,32,expand_cpu_work_ms,2,24.272,24.272,0.0,24.272,24.272,24.272,24.272
RM_VECTOR,16,8,expand_total_ms,2,13.399,13.399,0.7580184694319784,12.863,13.934999999999999,12.863,12.863
RM_VECTOR,16,8,expand_latency_ms,2,13.934999999999999,13.934999999999999,0.0,13.934999999999999,13.934999999999999,13.934999999999999,13.934999999999999
RM_VECTOR,16,8,expand_cpu_work_ms,2,26.798,26.798,0.0,26.798,26.798,26.798,26.798
RM_VECTOR,16,16,expand_total_ms,2,25.896,25.896,0.7269057710597724,25.381999999999998,26.41,25.381999999999998,25.381999999999998
RM_VECTOR,16,16,expand_latency_ms,2,26.41,26.41,0.0,26.41,26.41,26.41,26.41
RM_VECTOR,16,16,expand_cpu_work_ms,2,51.792,51.792,0.0,51.792,51.792,51.792,51.792
RM_VECTOR,16,32,expand_total_ms,2,80.324,80.324,0.04101219330881461,80.295,80.353,80.295,80.295
RM_VECTOR,16,32,expand_latency_ms,2,80.353,80.353,0.0,80.353,80.353,80.353,80.353
RM_VECTOR,16,32,expand_cpu_work_ms,2,160.648,160.648,0.0,160.648,160.648,160.648,160.648
RM_VECTOR,18,8,expand_total_ms,2,66.859,66.859,3.406840471756795,64.44999999999999,69.268,64.44999999999999,64.44999999999999
RM_VECTOR,18,8,expand_latency_ms,2,69.268,69.268,0.0,69.268,69.268,69.268,69.268
RM_VECTOR,18,8,expand_cpu_work_ms,2,133.718,133.718,0.0,133.718,133.718,133.718,133.718
RM_VECTOR,18,16,expand_total_ms,2,150.2065,150.2065,10.851967770869951,142.533,157.88,142.533,142.533
RM_VECTOR,18,16,expand_latency_ms,2,157.88,157.88,0.0,157.88,157.88,157.88,157.88
RM_VECTOR,18,16,expand_cpu_work_ms,2,300.413,300.413,0.0,300.413,300.413,300.413,300.413
RM_VECTOR,18,32,expand_total_ms,2,293.16949999999997,293.16949999999997,1.3908790385939682,292.186,294.153,292.186,292.186
RM_VECTOR,18,32,expand_latency_ms,2,294.153,294.153,0.0,294.153,294.153,294.153,294.153
RM_VECTOR,18,32,expand_cpu_work_ms,2,586.3389999999999,586.3389999999999,0.0,586.3389999999999,586.3389999999999,586.3389999999999,586.3389999999999
RM_VECTOR,20,8,expand_total_ms,2,338.0295,338.0295,26.500240838528224,319.291,356.768,319.291,319.291
RM_VECTOR,20,8,expand_latency_ms,2,356.768,356.768,0.0,356.768,356.768,356.768,356.768
RM_VECTOR,20,8,expand_cpu_work_ms,2,676.059,676.059,0.0,676.059,676.059,676.059,676.059
RM_VECTOR,20,16,expand_total_ms,2,688.7180000000001,688.7180000000001,22.55387789272617,672.77,704.666,672.77,672.77
RM_VECTOR,20,16,expand_latency_ms,2,704.666,704.666,0.0,704.666,704.666,704.666,704.666
RM_VECTOR,20,16,expand_cpu_work_ms,2,1377.4360000000001,1377.4360000000001,0.0,1377.4360000000001,1377.4360000000001,1377.4360000000001,1377.4360000000001
RM_VECTOR,20,32,expand_total_ms,2,1500.6135,1500.6135,83.29788593055659,1441.713,1559.5140000000001,1441.713,1441.713
RM_VECTOR,20,32,expand_latency_ms,2,1559.5140000000001,1559.5140000000001,0.0,1559.5140000000001,1559.5140000000001,1559.5140000000001,1559.5140000000001
RM_VECTOR,20,32,expand_cpu_work_ms,2,3001.227,3001.227,0.0,3001.227,3001.227,3001.227,3001.227
