method,logN,m,metric,count,median,mean,stddev,min,max,p25,p75
RM_VECTOR,12,8,setup_wall_ms,1,106.117,106.117,0.0,106.117,106.117,106.117,106.117
RM_VECTOR,12,8,expand_wall_ms,1,1.153,1.153,0.0,1.153,1.153,1.153,1.153
RM_VECTOR,12,8,total_wall_ms,1,107.16000000000001,107.16000000000001,0.0,107.16000000000001,107.16000000000001,107.16000000000001,107.16000000000001
RM_VECTOR,12,8,total_cpu_work_ms,1,117.16900000000001,117.16900000000001,0.0,117.16900000000001,117.16900000000001,117.16900000000001,117.16900000000001
RM_VECTOR,12,16,setup_wall_ms,1,212.103,212.103,0.0,212.103,212.103,212.103,212.103
RM_VECTOR,12,16,expand_wall_ms,1,1.4220000000000002,1.4220000000000002,0.0,1.4220000000000002,1.4220000000000002,1.4220000000000002,1.4220000000000002
RM_VECTOR,12,16,total_wall_ms,1,213.505,213.505,0.0,213.505,213.505,213.505,213.505
RM_VECTOR,12,16,total_cpu_work_ms,1,250.05599999999998,250.05599999999998,0.0,250.05599999999998,250.05599999999998,250.05599999999998,250.05599999999998
RM_VECTOR,12,32,setup_wall_ms,1,460.667,460.667,0.0,460.667,460.667,460.667,460.667
RM_VECTOR,12,32,expand_wall_ms,1,4.646,4.646,0.0,4.646,4.646,4.646,4.646
RM_VECTOR,12,32,total_wall_ms,1,465.264,465.264,0.0,465.264,465.264,465.264,465.264
RM_VECTOR,12,32,total_cpu_work_ms,1,556.5379999999999,556.5379999999999,0.0,556.5379999999999,556.5379999999999,556.5379999999999,556.5379999999999
RM_VECTOR,14,8,setup_wall_ms,1,137.10500000000002,137.10500000000002,0.0,137.10500000000002,137.10500000000002,137.10500000000002,137.10500000000002
RM_VECTOR,14,8,expand_wall_ms,1,4.954,4.954,0.0,4.954,4.954,4.954,4.954
RM_VECTOR,14,8,total_wall_ms,1,141.787,141.787,0.0,141.787,141.787,141.787,141.787
RM_VECTOR,14,8,total_cpu_work_ms,1,155.46899999999997,155.46899999999997,0.0,155.46899999999997,155.46899999999997,155.46899999999997,155.46899999999997
RM_VECTOR,14,16,setup_wall_ms,1,235.369,235.369,0.0,235.369,235.369,235.369,235.369
RM_VECTOR,14,16,expand_wall_ms,1,9.697000000000001,9.697000000000001,0.0,9.697000000000001,9.697000000000001,9.697000000000001,9.697000000000001
RM_VECTOR,14,16,total_wall_ms,1,244.785,244.785,0.0,244.785,244.785,244.785,244.785
RM_VECTOR,14,16,total_cpu_work_ms,1,290.01,290.01,0.0,290.01,290.01,290.01,290.01
RM_VECTOR,14,32,setup_wall_ms,1,482.432,482.432,0.0,482.432,482.432,482.432,482.432
RM_VECTOR,14,32,expand_wall_ms,1,12.304,12.304,0.0,12.304,12.304,12.304,12.304
RM_VECTOR,14,32,total_wall_ms,1,494.399,494.399,0.0,494.399,494.399,494.399,494.399
RM_VECTOR,14,32,total_cpu_work_ms,1,593.752,593.752,0.0,593.752,593.752,593.752,593.752
RM_VECTOR,16,8,setup_wall_ms,1,168.243,168.243,0.0,168.243,168.243,168.243,168.243
