timestamp,git_commit,method,base_ot_mode,p,base_field_bits,base_coordinate_storage_bits,lambda,logN,N,t,m,trial_index,warmup,status,data_source,correctness,ctx_bit_size_ext_elem,ctx_byte_size_ext_elem,base_ot_count,noisy_payload_element_count,predicted_serialized_payload_bytes,predicted_socket_traffic_bytes,output_memory_a_bytes,output_memory_b_bytes,output_memory_c_bytes,predicted_peak_memory_bytes
2026-07-23T01:21:33.354111+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,DIRECT_NOISY_SVOLE,INCLUDING_BASE_OT,2305843009213693951,61,64,128,12,4096,64,8,0,0,OK,modeled,PASS,512,64,512,2097152,134217728,134217728,262144,262144,32768,134774784
2026-07-23T01:21:33.354140+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,DIRECT_NOISY_SVOLE,INCLUDING_BASE_OT,2305843009213693951,61,64,128,12,4096,64,16,0,0,OK,modeled,PASS,1024,128,1024,4194304,536870912,536870912,524288,524288,32768,537952256
2026-07-23T01:21:33.354149+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,DIRECT_NOISY_SVOLE,INCLUDING_BASE_OT,2305843009213693951,61,64,128,12,4096,64,32,0,0,OK,modeled,PASS,2048,256,2048,8388608,2147483648,2147483648,1048576,1048576,32768,2149613568
2026-07-23T01:21:33.354155+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,DIRECT_NOISY_SVOLE,INCLUDING_BASE_OT,2305843009213693951,61,64,128,14,16384,64,8,0,0,OK,modeled,PASS,512,64,512,8388608,536870912,536870912,1048576,1048576,131072,539099136
2026-07-23T01:21:33.354161+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,DIRECT_NOISY_SVOLE,INCLUDING_BASE_OT,2305843009213693951,61,64,128,14,16384,64,16,0,0,OK,modeled,PASS,1024,128,1024,16777216,2147483648,2147483648,2097152,2097152,131072,2151809024
2026-07-23T01:21:33.354167+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,DIRECT_NOISY_SVOLE,INCLUDING_BASE_OT,2305843009213693951,61,64,128,14,16384,64,32,0,0,OK,modeled,PASS,2048,256,2048,33554432,8589934592,8589934592,4194304,4194304,131072,8598454272
2026-07-23T01:21:33.354174+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,DIRECT_NOISY_SVOLE,INCLUDING_BASE_OT,2305843009213693951,61,64,128,16,65536,64,8,0,0,OK,modeled,PASS,512,64,512,33554432,2147483648,2147483648,4194304,4194304,524288,2156396544
2026-07-23T01:21:33.354180+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,DIRECT_NOISY_SVOLE,INCLUDING_BASE_OT,2305843009213693951,61,64,128,16,65536,64,16,0,0,OK,modeled,PASS,1024,128,1024,67108864,8589934592,8589934592,8388608,8388608,524288,8607236096
2026-07-23T01:21:33.354186+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,DIRECT_NOISY_SVOLE,INCLUDING_BASE_OT,2305843009213693951,61,64,128,16,65536,64,32,0,0,OK,modeled,PASS,2048,256,2048,134217728,34359738368,34359738368,16777216,16777216,524288,34393817088
2026-07-23T01:21:33.354194+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,DIRECT_NOISY_SVOLE,INCLUDING_BASE_OT,2305843009213693951,61,64,128,18,262144,64,8,0,0,OK,modeled,PASS,512,64,512,134217728,8589934592,8589934592,16777216,16777216,2097152,8625586176
2026-07-23T01:21:33.354200+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,DIRECT_NOISY_SVOLE,INCLUDING_BASE_OT,2305843009213693951,61,64,128,18,262144,64,16,0,0,OK,modeled,PASS,1024,128,1024,268435456,34359738368,34359738368,33554432,33554432,2097152,34428944384
2026-07-23T01:21:33.354205+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,DIRECT_NOISY_SVOLE,INCLUDING_BASE_OT,2305843009213693951,61,64,128,18,262144,64,32,0,0,OK,modeled,PASS,2048,256,2048,536870912,137438953472,137438953472,67108864,67108864,2097152,137575268352
2026-07-23T01:21:33.354211+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,DIRECT_NOISY_SVOLE,INCLUDING_BASE_OT,2305843009213693951,61,64,128,20,1048576,64,8,0,0,OK,modeled,PASS,512,64,512,536870912,34359738368,34359738368,67108864,67108864,8388608,34502344704
2026-07-23T01:21:33.354216+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,DIRECT_NOISY_SVOLE,INCLUDING_BASE_OT,2305843009213693951,61,64,128,20,1048576,64,16,0,0,OK,modeled,PASS,1024,128,1024,1073741824,137438953472,137438953472,134217728,134217728,8388608,137715777536
2026-07-23T01:21:33.354223+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,DIRECT_NOISY_SVOLE,INCLUDING_BASE_OT,2305843009213693951,61,64,128,20,1048576,64,32,0,0,OK,modeled,PASS,2048,256,2048,2147483648,549755813888,549755813888,268435456,268435456,8388608,550301073408
