method,mode,implementation_mode,role,network,address,logN,N,t,m,blockSize,reps,median_s_setup_s,median_e_setup_s,median_total_setup_s,median_verify_s,bytes_sent_by_role,bytes_received_by_role,total_local_socket_bytes,harness_metadata_bytes,clean_protocol_bytes,pprf_instances_s,pprf_instances_e,total_pprf_instances,default_base_ot_calls,expanded_leaves_per_coordinate_per_sparse_vector,total_scalar_expanded_leaves,total_scalar_expanded_leaves_over_2mN,ok,notes
RMVOLE-PPRF-RegularPprf,verify,batched-regular-block,sender-server,tcp-loopback,0.0.0.0:12242,12,4096,8,8,512,3,0.0397959020047,0.0397280780016,0.0796832720225,0,1686168,120984,1807152,1575936,231216,8,8,16,16,4096,65536,1,1,tcp_two_process; verify; server_runs_batched_RegularPprfSender; receives_test_beta; sends_sender_output_for_opening; DefaultBaseOT_repeated_per_batched_RegularPprf
RMVOLE-PPRF-RegularPprf,verify,batched-regular-block,receiver-client,tcp-loopback,127.0.0.1:12242,12,4096,8,8,512,3,0.0397883480182,0.0397287720116,0.0796869829937,0.000221271940973,120984,1686168,1807152,1575936,231216,8,8,16,16,4096,65536,1,1,tcp_two_process; verify; client_generates_centralized_test_inputs; verifies_s_and_e; DefaultBaseOT_repeated_per_batched_RegularPprf
RMVOLE-PPRF-RegularPprf,bench,batched-regular-block,sender-server,tcp-loopback,0.0.0.0:12240,12,4096,8,8,512,3,0.0387102949899,0.0387262830045,0.0774365779944,0,112920,117528,230448,0,230448,8,8,16,16,4096,65536,1,1,tcp_two_process; bench; server_runs_batched_RegularPprfSender; no_beta_or_opening_traffic; DefaultBaseOT_repeated_per_batched_RegularPprf
RMVOLE-PPRF-RegularPprf,bench,batched-regular-block,receiver-client,tcp-loopback,127.0.0.1:12240,12,4096,8,8,512,3,0.0387039339985,0.0387263069861,0.0774302409845,0,117528,112920,230448,0,230448,8,8,16,16,4096,65536,1,1,tcp_two_process; bench; receiver_choices_local; no_beta_or_opening_traffic; DefaultBaseOT_repeated_per_batched_RegularPprf
RMVOLE-PPRF-RegularPprf,bench,batched-regular-block,sender-server,tcp-loopback,0.0.0.0:12241,14,16384,16,16,1024,3,0.165054688987,0.165170702996,0.329987461009,0,496920,522264,1019184,0,1019184,16,16,32,32,16384,524288,1,1,tcp_two_process; bench; server_runs_batched_RegularPprfSender; no_beta_or_opening_traffic; DefaultBaseOT_repeated_per_batched_RegularPprf
RMVOLE-PPRF-RegularPprf,bench,batched-regular-block,receiver-client,tcp-loopback,127.0.0.1:12241,14,16384,16,16,1024,3,0.165035787009,0.165118595993,0.330008699006,0,522264,496920,1019184,0,1019184,16,16,32,32,16384,524288,1,1,tcp_two_process; bench; receiver_choices_local; no_beta_or_opening_traffic; DefaultBaseOT_repeated_per_batched_RegularPprf
RMVOLE-PPRF-RegularPprf,bench,vector-fixed-prime,sender-server,tcp-loopback,0.0.0.0:12250,12,4096,8,8,512,3,0.00538150200737,0.00584523001453,0.0112267320219,0,24888,14712,39600,0,39600,1,1,2,2,4096,65536,1,1,tcp_two_process; bench; server_runs_vector_RegularPprfSender; no_beta_or_opening_traffic; DefaultBaseOT_repeated_per_vector_RegularPprf
RMVOLE-PPRF-RegularPprf,bench,vector-fixed-prime,receiver-client,tcp-loopback,127.0.0.1:12250,12,4096,8,8,512,3,0.00533210902358,0.00579509700765,0.0111679600377,0,14712,24888,39600,0,39600,1,1,2,2,4096,65536,1,1,tcp_two_process; bench; receiver_choices_local; no_beta_or_opening_traffic; DefaultBaseOT_repeated_per_vector_RegularPprf
RMVOLE-PPRF-RegularPprf,bench,vector-fixed-prime,sender-server,tcp-loopback,0.0.0.0:12251,14,16384,16,16,1024,3,0.0121554560028,0.0121324250067,0.0242196250183,0,77160,32664,109824,0,109824,1,1,2,2,16384,524288,1,1,tcp_two_process; bench; server_runs_vector_RegularPprfSender; no_beta_or_opening_traffic; DefaultBaseOT_repeated_per_vector_RegularPprf
RMVOLE-PPRF-RegularPprf,bench,vector-fixed-prime,receiver-client,tcp-loopback,127.0.0.1:12251,14,16384,16,16,1024,3,0.0120852180116,0.0121195230167,0.0241817210335,0,32664,77160,109824,0,109824,1,1,2,2,16384,524288,1,1,tcp_two_process; bench; receiver_choices_local; no_beta_or_opening_traffic; DefaultBaseOT_repeated_per_vector_RegularPprf
RMVOLE-PPRF-RegularPprf,bench,batched-regular-block,sender-server,tcp-loopback,0.0.0.0:12252,12,4096,8,8,512,3,0.0389284350094,0.0387262479926,0.0776531600277,0,112920,117528,230448,0,230448,8,8,16,16,4096,65536,1,1,tcp_two_process; bench; server_runs_batched_RegularPprfSender; no_beta_or_opening_traffic; DefaultBaseOT_repeated_per_batched_RegularPprf
RMVOLE-PPRF-RegularPprf,bench,batched-regular-block,receiver-client,tcp-loopback,127.0.0.1:12252,12,4096,8,8,512,3,0.0389285559941,0.0387274129898,0.0776517839986,0,117528,112920,230448,0,230448,8,8,16,16,4096,65536,1,1,tcp_two_process; bench; receiver_choices_local; no_beta_or_opening_traffic; DefaultBaseOT_repeated_per_batched_RegularPprf
