method,network,logN,N,t,m,total_s_median,setup_s_median,expand_p0_s_median,expand_p1_s_median,comm_bytes_clean,entries,entries_per_s,bytes_per_entry,notes,rm_comm_bytes_per_rep,libote_comm_bytes_per_rep,rm_bytes_per_entry_per_rep,libote_bytes_per_entry_per_rep
RM-VOLE-vector-PPRF-setup-local-expand,tcp-loopback,12,4096,8,8,0.0116201120254,0.0109370160208,0.000790021003922,0.000686423998559,39696,32768,2819938.3902989547,1.21142578125,"semi_honest_networked_vector_RegularPprf_setup_plus_local_expand; centralized_harness_metadata_excluded; fields=Fp64_vector_coordinates; reps=3; total=max(server,client)",13232,,0.40380859375,
RM-VOLE-vector-PPRF-setup-local-expand,tcp-loopback,12,4096,8,16,0.0148925850226,0.0126232870098,0.00248549200478,0.00224616398918,51984,65536,4400579.207743109,0.793212890625,"semi_honest_networked_vector_RegularPprf_setup_plus_local_expand; centralized_harness_metadata_excluded; fields=Fp64_vector_coordinates; reps=3; total=max(server,client)",17328,,0.264404296875,
RM-VOLE-vector-PPRF-setup-local-expand,tcp-loopback,12,4096,8,32,0.01869153601,0.0155861820094,0.00310381298186,0.00314637800329,76560,131072,7012371.799186342,0.5841064453125,"semi_honest_networked_vector_RegularPprf_setup_plus_local_expand; centralized_harness_metadata_excluded; fields=Fp64_vector_coordinates; reps=3; total=max(server,client)",25520,,0.194702148438,
RM-VOLE-vector-PPRF-setup-local-expand,tcp-loopback,12,4096,8,64,0.0282572779979,0.0218139780045,0.00642430299195,0.00644329999341,125712,262144,9277043.59986414,0.47955322265625,"semi_honest_networked_vector_RegularPprf_setup_plus_local_expand; centralized_harness_metadata_excluded; fields=Fp64_vector_coordinates; reps=3; total=max(server,client)",41904,,0.159851074219,
RM-VOLE-vector-PPRF-setup-local-expand,tcp-loopback,14,16384,16,8,0.0271120989928,0.0241433529882,0.00310213599005,0.00298460302292,85344,131072,4834446.791995265,0.651123046875,"semi_honest_networked_vector_RegularPprf_setup_plus_local_expand; centralized_harness_metadata_excluded; fields=Fp64_vector_coordinates; reps=3; total=max(server,client)",28448,,0.217041015625,
RM-VOLE-vector-PPRF-setup-local-expand,tcp-loopback,14,16384,16,16,0.0324818980007,0.0264865790086,0.00605172698852,0.00599531899206,109920,262144,8070464.355080196,0.4193115234375,"semi_honest_networked_vector_RegularPprf_setup_plus_local_expand; centralized_harness_metadata_excluded; fields=Fp64_vector_coordinates; reps=3; total=max(server,client)",36640,,0.139770507812,
RM-VOLE-vector-PPRF-setup-local-expand,tcp-loopback,14,16384,16,32,0.0443877040234,0.0322387220222,0.012123160006,0.0121790119738,159072,524288,11811559.339127105,0.30340576171875,"semi_honest_networked_vector_RegularPprf_setup_plus_local_expand; centralized_harness_metadata_excluded; fields=Fp64_vector_coordinates; reps=3; total=max(server,client)",53024,,0.101135253906,
RM-VOLE-vector-PPRF-setup-local-expand,tcp-loopback,16,65536,64,8,0.114224118995,0.10099739299,0.0137073459919,0.0130863999948,340224,524288,4589993.817531217,0.64892578125,"semi_honest_networked_vector_RegularPprf_setup_plus_local_expand; centralized_harness_metadata_excluded; fields=Fp64_vector_coordinates; reps=3; total=max(server,client)",113408,,0.21630859375,
RM-VOLE-vector-PPRF-setup-local-expand,tcp-loopback,16,65536,64,16,0.135087143979,0.109146796982,0.0260795859795,0.02587760202,438528,1048576,7762219.032204919,0.418212890625,"semi_honest_networked_vector_RegularPprf_setup_plus_local_expand; centralized_harness_metadata_excluded; fields=Fp64_vector_coordinates; reps=3; total=max(server,client)",146176,,0.139404296875,
RM-VOLE-vector-PPRF-setup-local-expand,tcp-loopback,18,262144,128,8,0.389324604999,0.321614190994,0.0720931130054,0.0674877199926,730752,2097152,5386641.309262708,0.34844970703125,"semi_honest_networked_vector_RegularPprf_setup_plus_local_expand; centralized_harness_metadata_excluded; fields=Fp64_vector_coordinates; reps=3; total=max(server,client)",243584,,0.116149902344,
