timestamp,benchmark_source_commit,method,logN,N,m,trial_index,vector_pprf_full_domain_eval_ms,base_field_wht_x_ms,module_coordinate_wht_z_ms,pointwise_multiplication_ms,additions_output_materialization_ms,p0_total_ms,p1_total_ms,critical_path_ms,rho_wht_one_time_ms,status
2026-07-26T06:15:57.490994+00:00,4a917afb6ebeca9bce885fae7f25d0ac0264ecb6,RM_EXPAND_ONLY,12,4096,8,-1,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p0,0.718,0.749,0.749,precomputed_outside_repeated_region,OK
2026-07-26T06:15:57.491013+00:00,4a917afb6ebeca9bce885fae7f25d0ac0264ecb6,RM_EXPAND_ONLY,12,4096,8,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p0,0.6980000000000001,0.716,0.716,precomputed_outside_repeated_region,OK
2026-07-26T06:15:57.491017+00:00,4a917afb6ebeca9bce885fae7f25d0ac0264ecb6,RM_EXPAND_ONLY,12,4096,8,1,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p0,0.749,0.745,0.749,precomputed_outside_repeated_region,OK
2026-07-26T06:15:57.491020+00:00,4a917afb6ebeca9bce885fae7f25d0ac0264ecb6,RM_EXPAND_ONLY,12,4096,8,2,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p0,0.714,0.7380000000000001,0.7380000000000001,precomputed_outside_repeated_region,OK
2026-07-26T06:15:57.491023+00:00,4a917afb6ebeca9bce885fae7f25d0ac0264ecb6,RM_EXPAND_ONLY,12,4096,8,3,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p0,0.7150000000000001,0.731,0.731,precomputed_outside_repeated_region,OK
2026-07-26T06:15:57.491027+00:00,4a917afb6ebeca9bce885fae7f25d0ac0264ecb6,RM_EXPAND_ONLY,12,4096,8,4,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p0,0.7290000000000001,0.743,0.743,precomputed_outside_repeated_region,OK
2026-07-26T06:15:57.491030+00:00,4a917afb6ebeca9bce885fae7f25d0ac0264ecb6,RM_EXPAND_ONLY,12,4096,8,5,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p0,0.7739999999999999,0.768,0.7739999999999999,precomputed_outside_repeated_region,OK
2026-07-26T06:15:57.491032+00:00,4a917afb6ebeca9bce885fae7f25d0ac0264ecb6,RM_EXPAND_ONLY,12,4096,8,6,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p0,0.747,0.739,0.747,precomputed_outside_repeated_region,OK
2026-07-26T06:15:57.491036+00:00,4a917afb6ebeca9bce885fae7f25d0ac0264ecb6,RM_EXPAND_ONLY,12,4096,8,7,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p0,0.7200000000000001,0.745,0.745,precomputed_outside_repeated_region,OK
2026-07-26T06:15:57.491039+00:00,4a917afb6ebeca9bce885fae7f25d0ac0264ecb6,RM_EXPAND_ONLY,12,4096,8,8,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p0,0.717,0.743,0.743,precomputed_outside_repeated_region,OK
