method,logN,m,metric,count,median,mean,stddev,q25,q75,min,max
RM_COORD_GENERIC_SPLIT,12,16,total_wall_ms,10,927.22,927.3885,26.141874535885908,902.8009999999999,941.89,893.0550000000001,982.144
RM_COORD_GENERIC_SPLIT,12,16,total_comm_bytes,10,17626480.0,17626480.0,0.0,17626480.0,17626480.0,17626480.0,17626480.0
RM_COORD_GENERIC_SPLIT,12,16,split_input_setup_ms,10,126.0765,130.4176,9.436321923291937,125.972,126.87,125.78,156.232
RM_COORD_GENERIC_SPLIT,12,16,pprf_key_setup_ms,10,795.4445000000001,791.2793,19.44368540194991,771.197,799.256,761.7479999999999,825.611
RM_COORD_GENERIC_SPLIT,12,16,p0_expand_ms,10,1.458,1.5127,0.14020274605013977,1.45,1.4989999999999999,1.435,1.9269999999999998
RM_COORD_GENERIC_SPLIT,12,16,p1_expand_ms,10,1.7639999999999998,1.8411,0.17913986156073697,1.7489999999999999,1.799,1.729,2.321
RM_COORD_GENERIC_SPLIT,12,32,total_wall_ms,10,1976.1840000000002,1995.8167,104.83155795756355,1924.115,1995.298,1876.991,2196.456
RM_COORD_GENERIC_SPLIT,12,32,total_comm_bytes,10,68807280.0,68807280.0,0.0,68807280.0,68807280.0,68807280.0,68807280.0
RM_COORD_GENERIC_SPLIT,12,32,split_input_setup_ms,10,306.813,316.3266,18.174749517943848,304.738,326.571,303.11199999999997,362.35200000000003
RM_COORD_GENERIC_SPLIT,12,32,pprf_key_setup_ms,10,1623.812,1655.5091,103.67412439606133,1589.065,1655.21,1549.723,1856.1209999999999
RM_COORD_GENERIC_SPLIT,12,32,p0_expand_ms,10,3.0940000000000003,3.1593999999999998,0.16388422742899936,3.063,3.113,3.058,3.5869999999999997
RM_COORD_GENERIC_SPLIT,12,32,p1_expand_ms,10,3.5055,3.8021000000000003,0.5741086047082034,3.464,4.039,3.455,5.343
RM_COORD_GENERIC_SPLIT,12,8,total_wall_ms,10,423.18899999999996,441.6266,30.357939173138877,421.636,467.341,421.162,515.713
RM_COORD_GENERIC_SPLIT,12,8,total_comm_bytes,10,4618992.0,4618992.0,0.0,4618992.0,4618992.0,4618992.0,4618992.0
RM_COORD_GENERIC_SPLIT,12,8,split_input_setup_ms,10,48.8245,49.7603,1.9810848568398083,48.672,50.071999999999996,48.254,55.160000000000004
RM_COORD_GENERIC_SPLIT,12,8,pprf_key_setup_ms,10,373.7925,391.1225,29.996215128745824,372.14599999999996,417.738,371.33500000000004,463.826
RM_COORD_GENERIC_SPLIT,12,8,p0_expand_ms,10,0.7415,0.7441,0.011553787257864854,0.735,0.751,0.727,0.771
RM_COORD_GENERIC_SPLIT,12,8,p1_expand_ms,10,0.9385,0.9410000000000001,0.008330666239863435,0.9359999999999999,0.9460000000000001,0.93,0.9600000000000001
RM_COORD_GENERIC_SPLIT,14,16,total_wall_ms,10,1226.885,1248.7511,72.79246178891056,1201.095,1234.931,1181.984,1426.115
