method,role,network,address,N,log2N,m,reps,field_type,security_bits,median_total_s,bytes_sent_by_role,bytes_received_by_role,total_local_socket_bytes,entries,entries_per_s,rank_one_per_s,ok,notes
libOTe-NoisyVole,receiver-client,tcp-loopback,127.0.0.1:12120,4096,12,8,3,"array<u8,m> over scalar u8",128,0.02083359,6291624,6552,6298176,32768,1572844.62255,47.9994086473,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,sender-server,tcp-loopback,0.0.0.0:12120,4096,12,8,3,"array<u8,m> over scalar u8",128,0.020986639,6552,6291624,6298176,32768,1561374.35823,47.6493639596,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,receiver-client,tcp-loopback,127.0.0.1:12121,16384,14,16,3,"array<u8,m> over scalar u8",128,0.265669563,100663464,13080,100676544,262144,986729.518579,3.76407439643,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,sender-server,tcp-loopback,0.0.0.0:12121,16384,14,16,3,"array<u8,m> over scalar u8",128,0.268240809,13080,100663464,100676544,262144,977271.135504,3.72799352838,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,receiver-client,tcp-loopback,127.0.0.1:12200,4096,12,8,3,"array<u8,m> over scalar u8",128,0.019981095,6291624,6552,6298176,32768,1639950.16289,50.0473072171,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,sender-server,tcp-loopback,0.0.0.0:12200,4096,12,8,3,"array<u8,m> over scalar u8",128,0.021017802,6552,6291624,6298176,32768,1559059.31553,47.5787144631,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,receiver-client,tcp-loopback,127.0.0.1:12201,4096,12,16,3,"array<u8,m> over scalar u8",128,0.056307988,25165992,13080,25179072,65536,1163884.5984,17.7594695801,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,sender-server,tcp-loopback,0.0.0.0:12201,4096,12,16,3,"array<u8,m> over scalar u8",128,0.057223168,13080,25165992,25179072,65536,1145270.39118,17.4754393186,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,receiver-client,tcp-loopback,127.0.0.1:12202,4096,12,32,3,"array<u8,m> over scalar u8",128,0.137908322,100663464,26136,100689600,131072,950428.502785,7.25119402149,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
libOTe-NoisyVole,sender-server,tcp-loopback,0.0.0.0:12202,4096,12,32,3,"array<u8,m> over scalar u8",128,0.138102718,26136,100663464,100689600,131072,949090.661633,7.24098710353,1,two_process_tcp; relation_verified_by_local_mode_not_cross_checked_between_roles
